Vaccine  ,Price Tier (group) (4.2),Source,Year (Price),Avg. Price
BCG,,UNICEF SD,2021,0.09760
BCG,,PAHO,2021,0.33000
BCG,,UNICEF SD,2020,0.09480
BCG,,PAHO,2020,0.23100
BCG,China & Lower Middle Income,V3P,2020,0.35521
BCG,Upper Middle Income,V3P,2020,1.57304
BCG,High Income & Super HICs,V3P,2020,7.14631
BCG,,UNICEF SD,2019,0.09200
BCG,,PAHO,2019,0.22000
BCG,China & Lower Middle Income,V3P,2019,0.15895
BCG,Upper Middle Income,V3P,2019,0.53193
BCG,High Income & Super HICs,V3P,2019,4.84262
BCG,,UNICEF SD,2018,0.09000
BCG,,PAHO,2018,0.20730
BCG,China & Lower Middle Income,V3P,2018,0.18354
BCG,Upper Middle Income,V3P,2018,0.44452
BCG,High Income & Super HICs,V3P,2018,3.29978
BCG,,UNICEF SD,2017,0.07500
BCG,,PAHO,2017,0.14060
BCG,China & Lower Middle Income,V3P,2017,0.12556
BCG,Upper Middle Income,V3P,2017,0.62027
BCG,High Income & Super HICs,V3P,2017,1.71966
BCG,,UNICEF SD,2016,0.06800
BCG,,PAHO,2016,0.14430
BCG,China & Lower Middle Income,V3P,2016,0.26508
BCG,Upper Middle Income,V3P,2016,0.58745
BCG,High Income & Super HICs,V3P,2016,2.69374
BCG,,UNICEF SD,2015,0.06800
BCG,,PAHO,2015,0.14750
BCG,China & Lower Middle Income,V3P,2015,
BCG,Upper Middle Income,V3P,2015,
BCG,High Income & Super HICs,V3P,2015,
BCG,,UNICEF SD,2014,0.06500
BCG,,PAHO,2014,0.12675
BCG,Upper Middle Income,V3P,2014,
BCG,High Income & Super HICs,V3P,2014,
BCG,,UNICEF SD,2013,0.06250
BCG,,PAHO,2013,0.12675
BCG,China & Lower Middle Income,V3P,2013,
BCG,Upper Middle Income,V3P,2013,
BCG,High Income & Super HICs,V3P,2013,
BCG,,UNICEF SD,2012,0.05700
BCG,,PAHO,2012,0.16450
bOPV,,UNICEF SD,2021,0.08890
bOPV,,PAHO,2021,0.13840
bOPV,,UNICEF SD,2020,0.09750
bOPV,,PAHO,2020,0.14915
bOPV,China & Lower Middle Income,V3P,2020,0.29324
bOPV,Upper Middle Income,V3P,2020,0.72795
bOPV,High Income & Super HICs,V3P,2020,2.22218
bOPV,,UNICEF SD,2019,0.09290
bOPV,,PAHO,2019,0.14960
bOPV,China & Lower Middle Income,V3P,2019,0.66080
bOPV,Upper Middle Income,V3P,2019,0.64260
bOPV,High Income & Super HICs,V3P,2019,1.89755
bOPV,,UNICEF SD,2018,0.09520
bOPV,,PAHO,2018,0.14960
bOPV,China & Lower Middle Income,V3P,2018,0.18645
bOPV,Upper Middle Income,V3P,2018,0.56020
bOPV,High Income & Super HICs,V3P,2018,0.64558
bOPV,,UNICEF SD,2017,0.12000
bOPV,,PAHO,2017,0.14665
bOPV,China & Lower Middle Income,V3P,2017,0.16333
bOPV,Upper Middle Income,V3P,2017,0.52652
bOPV,High Income & Super HICs,V3P,2017,0.35429
bOPV,,UNICEF SD,2016,0.12000
bOPV,,PAHO,2016,0.13250
bOPV,China & Lower Middle Income,V3P,2016,0.24186
bOPV,Upper Middle Income,V3P,2016,0.36012
bOPV,High Income & Super HICs,V3P,2016,0.50430
bOPV,,UNICEF SD,2015,0.11750
bOPV,China & Lower Middle Income,V3P,2015,
bOPV,Upper Middle Income,V3P,2015,
bOPV,,UNICEF SD,2014,0.10000
bOPV,,UNICEF SD,2013,0.10000
bOPV,,UNICEF SD,2012,0.12060
Covid-19,,UNICEF SD,2021,3.00000
DT,,UNICEF SD,2021,0.16500
DT,,PAHO,2021,0.16500
DT,,UNICEF SD,2020,0.16500
DT,,PAHO,2020,0.16000
DT,China & Lower Middle Income,V3P,2020,0.33509
DT,Upper Middle Income,V3P,2020,0.30664
DT,High Income & Super HICs,V3P,2020,3.08300
DT,,UNICEF SD,2019,0.16000
DT,,PAHO,2019,0.16000
DT,China & Lower Middle Income,V3P,2019,0.24481
DT,Upper Middle Income,V3P,2019,0.43159
DT,High Income & Super HICs,V3P,2019,1.68745
DT,,UNICEF SD,2018,0.16000
DT,,PAHO,2018,0.16700
DT,China & Lower Middle Income,V3P,2018,0.36594
DT,Upper Middle Income,V3P,2018,0.43514
DT,High Income & Super HICs,V3P,2018,11.43576
DT,,UNICEF SD,2017,0.15900
DT,,PAHO,2017,0.16700
DT,China & Lower Middle Income,V3P,2017,0.38333
DT,Upper Middle Income,V3P,2017,0.62372
