Current WB Status & Gavi Eligibility,Country (group),ISO,Vaccine,Vaccine Sub-type,Routine / Campaign,Year,# Doses,Total Required Supply
Gavi Eligible,Afghanistan,AFG,BCG,BCG,Routine,2032,1,8357883.525
Gavi Eligible,Afghanistan,AFG,BCG,BCG,Routine,2031,1,8317149.75
Gavi Eligible,Afghanistan,AFG,BCG,BCG,Routine,2030,1,8283253.95
Gavi Eligible,Afghanistan,AFG,BCG,BCG,Routine,2029,1,8233096.275
Gavi Eligible,Afghanistan,AFG,BCG,BCG,Routine,2028,1,8190853.425
Gavi Eligible,Afghanistan,AFG,BCG,BCG,Routine,2027,1,8156361.5275
Gavi Eligible,Afghanistan,AFG,BCG,BCG,Routine,2026,1,7999525.265
Gavi Eligible,Afghanistan,AFG,BCG,BCG,Routine,2025,1,7843503.6475
Gavi Eligible,Afghanistan,AFG,BCG,BCG,Routine,2024,1,7710250.675
Gavi Eligible,Afghanistan,AFG,BCG,BCG,Routine,2023,1,7554028.8975
Gavi Eligible,Afghanistan,AFG,BCG,BCG,Routine,2022,1,7396288.205
Gavi Eligible,Afghanistan,AFG,bOPV,bOPV,Routine,2026,5,8422637.58018657
Gavi Eligible,Afghanistan,AFG,bOPV,bOPV,Routine,2025,5,8200580.92742538
Gavi Eligible,Afghanistan,AFG,bOPV,bOPV,Routine,2024,5,8008756.70645522
Gavi Eligible,Afghanistan,AFG,bOPV,bOPV,Routine,2023,5,7798390.48436567
Gavi Eligible,Afghanistan,AFG,bOPV,bOPV,Routine,2022,5,7550791.5663806
Gavi Eligible,Afghanistan,AFG,Covid-19,Covid-19,Campaign,2022,1,8552887
Gavi Eligible,Afghanistan,AFG,Covid-19,Covid-19,Routine,2032,3,2874757.3625
Gavi Eligible,Afghanistan,AFG,Covid-19,Covid-19,Routine,2031,3,2773045.4
Gavi Eligible,Afghanistan,AFG,Covid-19,Covid-19,Routine,2030,3,2673913.1875
Gavi Eligible,Afghanistan,AFG,Covid-19,Covid-19,Routine,2029,3,2576301.375
Gavi Eligible,Afghanistan,AFG,Covid-19,Covid-19,Routine,2028,3,2480810.45
Gavi Eligible,Afghanistan,AFG,Covid-19,Covid-19,Routine,2027,3,2387639.8625
Gavi Eligible,Afghanistan,AFG,Covid-19,Covid-19,Routine,2026,3,2296459.0875
Gavi Eligible,Afghanistan,AFG,Covid-19,Covid-19,Routine,2025,3,2208108.3625
Gavi Eligible,Afghanistan,AFG,Covid-19,Covid-19,Routine,2024,3,2122947.4
Gavi Eligible,Afghanistan,AFG,Covid-19,Covid-19,Routine,2023,3,2027098.5
Gavi Eligible,Afghanistan,AFG,DTwP-HepB-Hib,DTwP-HepB-Hib,Routine,2032,3,5189600.725
Gavi Eligible,Afghanistan,AFG,DTwP-HepB-Hib,DTwP-HepB-Hib,Routine,2031,3,5145241.91
Gavi Eligible,Afghanistan,AFG,DTwP-HepB-Hib,DTwP-HepB-Hib,Routine,2030,3,5107370.94
Gavi Eligible,Afghanistan,AFG,DTwP-HepB-Hib,DTwP-HepB-Hib,Routine,2029,3,5057405.9925
Gavi Eligible,Afghanistan,AFG,DTwP-HepB-Hib,DTwP-HepB-Hib,Routine,2028,3,5012976.2
Gavi Eligible,Afghanistan,AFG,DTwP-HepB-Hib,DTwP-HepB-Hib,Routine,2027,3,4974246.3675
Gavi Eligible,Afghanistan,AFG,DTwP-HepB-Hib,DTwP-HepB-Hib,Routine,2026,3,4915440.215
Gavi Eligible,Afghanistan,AFG,DTwP-HepB-Hib,DTwP-HepB-Hib,Routine,2025,3,4854572.9875
Gavi Eligible,Afghanistan,AFG,DTwP-HepB-Hib,DTwP-HepB-Hib,Routine,2024,3,4811557.305
Gavi Eligible,Afghanistan,AFG,DTwP-HepB-Hib,DTwP-HepB-Hib,Routine,2023,3,4758763.1025
Gavi Eligible,Afghanistan,AFG,DTwP-HepB-Hib,DTwP-HepB-Hib,Routine,2022,3,4673334.875
Gavi Eligible,Afghanistan,AFG,HepB,HepB,Routine,2032,1,1672872.525
Gavi Eligible,Afghanistan,AFG,HepB,HepB,Routine,2031,1,1664534.25
Gavi Eligible,Afghanistan,AFG,HepB,HepB,Routine,2030,1,1658245.95
Gavi Eligible,Afghanistan,AFG,HepB,HepB,Routine,2029,1,1647967.275
Gavi Eligible,Afghanistan,AFG,HepB,HepB,Routine,2028,1,1639424.925
Gavi Eligible,Afghanistan,AFG,HepB,HepB,Routine,2027,1,1636289.0275
Gavi Eligible,Afghanistan,AFG,HepB,HepB,Routine,2026,1,1604870.815
Gavi Eligible,Afghanistan,AFG,HepB,HepB,Routine,2025,1,1572993.2475
Gavi Eligible,Afghanistan,AFG,HepB,HepB,Routine,2024,1,1547053.225
Gavi Eligible,Afghanistan,AFG,HepB,HepB,Routine,2023,1,1515908.6975
Gavi Eligible,Afghanistan,AFG,HepB,HepB,Routine,2022,1,1485740.955
Gavi Eligible,Afghanistan,AFG,HPV,HPV,Campaign,2027,1,2433376
Gavi Eligible,Afghanistan,AFG,HPV,HPV,Routine,2032,1,472942.317023473
Gavi Eligible,Afghanistan,AFG,HPV,HPV,Routine,2031,1,447575.727992896
Gavi Eligible,Afghanistan,AFG,HPV,HPV,Routine,2030,1,415210.370442701
Gavi Eligible,Afghanistan,AFG,HPV,HPV,Routine,2029,1,401428.066007259
Gavi Eligible,Afghanistan,AFG,HPV,HPV,Routine,2028,1,408903.66528807
Gavi Eligible,Afghanistan,AFG,HPV,HPV,Routine,2027,1,301060.44227773
Gavi Eligible,Afghanistan,AFG,IPV,IPV,Routine,2032,2,3018562.34
Gavi Eligible,Afghanistan,AFG,IPV,IPV,Routine,2031,2,2966533.12
Gavi Eligible,Afghanistan,AFG,IPV,IPV,Routine,2030,2,2918459.7
Gavi Eligible,Afghanistan,AFG,IPV,IPV,Routine,2029,2,2863755.975
Gavi Eligible,Afghanistan,AFG,IPV,IPV,Routine,2028,2,2812482.73
Gavi Eligible,Afghanistan,AFG,IPV,IPV,Routine,2027,2,2764628.025
Gavi Eligible,Afghanistan,AFG,IPV,IPV,Routine,2026,2,2705959.33
Gavi Eligible,Afghanistan,AFG,IPV,IPV,Routine,2025,2,2646615.665
Gavi Eligible,Afghanistan,AFG,IPV,IPV,Routine,2024,2,2597334.09
Gavi Eligible,Afghanistan,AFG,IPV,IPV,Routine,2023,2,2553304.875
Gavi Eligible,Afghanistan,AFG,IPV,IPV,Routine,2022,2,2472285.636
Gavi Eligible,Afghanistan,AFG,Measles,Measles,Campaign,2025,1,6503191.11111111
Gavi Eligible,Afghanistan,AFG,Measles,Measles,Campaign,2022,1,7218620.16083333
Gavi Eligible,Afghanistan,AFG,Measles,Measles,Routine,2027,2,3301444.7975
Gavi Eligible,Afghanistan,AFG,Measles,Measles,Routine,2026,2,3178440.67166667
Gavi Eligible,Afghanistan,AFG,Measles,Measles,Routine,2025,2,3061578.19083333
Gavi Eligible,Afghanistan,AFG,Measles,Measles,Routine,2024,2,2954648.69583333
Gavi Eligible,Afghanistan,AFG,Measles,Measles,Routine,2023,2,2788742.67416667
Gavi Eligible,Afghanistan,AFG,Measles,Measles,Routine,2022,2,2617058.67416667
Gavi Eligible,Afghanistan,AFG,MR,MR,Campaign,2031,1,7218917.35294118
Gavi Eligible,Afghanistan,AFG,MR,MR,Campaign,2028,1,21992147.3529412
Gavi Eligible,Afghanistan,AFG,MR,MR,Routine,2032,2,3238481.60107143
Gavi Eligible,Afghanistan,AFG,MR,MR,Routine,2031,2,3181708.84535714
Gavi Eligible,Afghanistan,AFG,MR,MR,Routine,2030,2,3130945.93928571
Gavi Eligible,Afghanistan,AFG,MR,MR,Routine,2029,2,3029758.00571429
Gavi Eligible,Afghanistan,AFG,MR,MR,Routine,2028,2,2914850.25714286
Gavi Eligible,Afghanistan,AFG,PCV,PCV13,Routine,2032,3,5066788.65834489
Gavi Eligible,Afghanistan,AFG,PCV,PCV13,Routine,2031,3,4982406.30652478
Gavi Eligible,Afghanistan,AFG,PCV,PCV13,Routine,2030,3,4907592.40598072
Gavi Eligible,Afghanistan,AFG,PCV,PCV13,Routine,2029,3,4804213.41052173
Gavi Eligible,Afghanistan,AFG,PCV,PCV13,Routine,2028,3,4694315.7030267
Gavi Eligible,Afghanistan,AFG,PCV,PCV13,Routine,2027,3,4579424.92956887
Gavi Eligible,Afghanistan,AFG,PCV,PCV13,Routine,2026,3,4465024.79972524
Gavi Eligible,Afghanistan,AFG,PCV,PCV13,Routine,2025,3,4369343.50611878
Gavi Eligible,Afghanistan,AFG,PCV,PCV13,Routine,2024,3,4321525.06986057
Gavi Eligible,Afghanistan,AFG,PCV,PCV13,Routine,2023,3,4283072.00772393
Gavi Eligible,Afghanistan,AFG,PCV,PCV13,Routine,2022,3,4245982.27564177
Gavi Eligible,Afghanistan,AFG,Rota,Rota,Routine,2032,2,3099779.12605263
Gavi Eligible,Afghanistan,AFG,Rota,Rota,Routine,2031,2,3084248.21447368
Gavi Eligible,Afghanistan,AFG,Rota,Rota,Routine,2030,2,3072811.44789474
Gavi Eligible,Afghanistan,AFG,Rota,Rota,Routine,2029,2,3053661.53921053
Gavi Eligible,Afghanistan,AFG,Rota,Rota,Routine,2028,2,3037794.99157895
Gavi Eligible,Afghanistan,AFG,Rota,Rota,Routine,2027,2,3025715.53263158
Gavi Eligible,Afghanistan,AFG,Rota,Rota,Routine,2026,2,3000895.68552632
Gavi Eligible,Afghanistan,AFG,Rota,Rota,Routine,2025,2,2974344.82342105
Gavi Eligible,Afghanistan,AFG,Rota,Rota,Routine,2024,2,2959209.18236842
Gavi Eligible,Afghanistan,AFG,Rota,Rota,Routine,2023,2,2933358.615
Gavi Eligible,Afghanistan,AFG,Rota,Rota,Routine,2022,2,2916297.74552632
Gavi Eligible,Afghanistan,AFG,Td,Td,Campaign,2022,1,876387.5
Gavi Eligible,Afghanistan,AFG,Td,Td,Routine,2032,5,7896108.74925373
Gavi Eligible,Afghanistan,AFG,Td,Td,Routine,2031,5,7746541.82052239
Gavi Eligible,Afghanistan,AFG,Td,Td,Routine,2030,5,7606790.42537313
Gavi Eligible,Afghanistan,AFG,Td,Td,Routine,2029,5,7450580.18190299
Gavi Eligible,Afghanistan,AFG,Td,Td,Routine,2028,5,7303312.0125
Gavi Eligible,Afghanistan,AFG,Td,Td,Routine,2027,5,7164181.07369403
Gavi Eligible,Afghanistan,AFG,Td,Td,Routine,2026,5,6997997.75130597
Gavi Eligible,Afghanistan,AFG,Td,Td,Routine,2025,5,6830865.71660448
Gavi Eligible,Afghanistan,AFG,Td,Td,Routine,2024,5,6688686.97966418
Gavi Eligible,Afghanistan,AFG,Td,Td,Routine,2023,5,6524953.68973881
