Bundle Name m X Y_low Y Y_high R Rxtheta
1.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 3.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.0000000000 BCG 1.0000000000 10419137.9769333117 0.0712684142 0.2154722556 0.2154722556 0.2021556214 0.2425867457
2.0000000000 BCG 2.0000000000 17689078.1817576885 0.0379315360 0.1478247035 0.1478247035 0.1705974731 0.2047169678
2.0000000000 BCG 3.0000000000 422180.7051637582 0.1646503422 0.3187515516 0.3187515516 0.2999888456 0.3599866147
3.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 3.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
4.0000000000 BCG 1.0000000000 12883013.9673524015 0.1050271368 0.2624109215 0.2624109215 0.2979135473 0.3574962568
4.0000000000 BCG 2.0000000000 4321039.6172219068 0.0558991056 0.2624109215 0.2624109215 0.2514068025 0.3016881630
4.0000000000 BCG 3.0000000000 898990.1107650016 0.2426426096 0.2624109215 0.2624109215 0.4420888251 0.5305065901
5.0000000000 DT 1.0000000000 10248709.0159424022 0.1104431982 0.1593209166 0.1593209166 0.1808760823 0.2170512987
5.0000000000 DT 2.0000000000 38471869.0597095266 0.1104431982 0.1390118608 0.1390118608 0.1526398444 0.1831678133
5.0000000000 DT 3.0000000000 2696970.3322950043 0.1593209166 0.1593209166 0.1593209166 0.2684110724 0.3220932868
6.0000000000 DT 1.0000000000 59657746.8169147298 0.0971946916 0.2170512987 0.2170512987 0.1808760823 0.2170512987
6.0000000000 DT 2.0000000000 0.0000000000 0.0000000000 0.0339387427 0.0000000000 0.1526398444 0.1831678133
6.0000000000 DT 3.0000000000 82297.3777049957 0.1473187273 0.3201627714 0.3201627714 0.2684110724 0.3220932868
7.0000000000 DTP 1.0000000000 48720578.0756519288 0.1111075900 0.1203691932 0.1203691932 0.1808760823 0.2170512987
7.0000000000 DTP 2.0000000000 0.0000000000 0.0000000000 0.0339387427 0.0000000000 0.1526398444 0.1831678133
