Bundle Name m X Y_low Y Y_high R Rxtheta
1.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 3.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.0000000000 BCG 1.0000000000 9937993.4593284614 0.0379315360 0.0760878675 0.0760878675 0.0832203983 0.0998644779
2.0000000000 BCG 2.0000000000 12285497.7608227022 0.1191169078 0.1478406688 0.1478406688 0.1580639830 0.1896767796
2.0000000000 BCG 3.0000000000 6306905.6437035901 0.2183095607 0.3557020713 0.3557020713 0.3287156187 0.3944587425
3.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 3.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
4.0000000000 BCG 1.0000000000 3433125.0132225603 0.0558991056 0.1386888861 0.1386888861 0.1226405869 0.1471687043
4.0000000000 BCG 2.0000000000 4961488.2424426042 0.1958517729 0.2611887741 0.2611887741 0.2329363960 0.2795236752
4.0000000000 BCG 3.0000000000 9708430.4396741465 0.4786474385 0.4786474385 0.4786474385 0.4844230171 0.5813076205
5.0000000000 DT 1.0000000000 12554871.0804237947 0.0353768974 0.0828895198 0.0828895198 0.0744603563 0.0893524276
5.0000000000 DT 2.0000000000 35955297.9312697127 0.1334571222 0.1334571222 0.1334571222 0.1414256690 0.1697108028
5.0000000000 DT 3.0000000000 2907379.3962534219 0.1953296070 0.3484445054 0.3484445054 0.2941139747 0.3529367696
6.0000000000 DT 1.0000000000 0.0000000000 0.0000000000 0.0339387427 0.0000000000 0.0744603563 0.0893524276
6.0000000000 DT 2.0000000000 15785660.0785262063 0.1065782859 0.1577957032 0.1577957032 0.1414256690 0.1697108028
6.0000000000 DT 3.0000000000 43954384.1160935163 0.1953296070 0.2024107259 0.2024107259 0.2941139747 0.3529367696
7.0000000000 DTP 1.0000000000 0.0000000000 0.0000000000 0.0339387427 0.0000000000 0.0744603563 0.0893524276
7.0000000000 DTP 2.0000000000 7463164.2918534130 0.1065782859 0.1644703644 0.1644703644 0.1414256690 0.1697108028
