Bundle Name m X Y_low Y Y_high R Rxtheta
1.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 3.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 4.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.0000000000 BCG 1.0000000000 4062967.0862536696 0.3031232937 0.3916972072 0.3916972072 0.3523040859 0.4227649031
2.0000000000 BCG 2.0000000000 12861229.2451806366 0.0379315360 0.0847988436 0.0847988436 0.0927479475 0.1112975370
2.0000000000 BCG 3.0000000000 11592306.8433277849 0.1434345963 0.1774863431 0.1774863431 0.1907349345 0.2288819214
2.0000000000 BCG 4.0000000000 13893.6890926641 0.4353273489 0.4479089890 0.4479089890 0.4898962962 0.5878755554
3.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 3.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 4.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
4.0000000000 BCG 1.0000000000 9129202.5170600060 0.4854274747 0.4854274747 0.4854274747 0.5191849687 0.6230219625
4.0000000000 BCG 2.0000000000 4442970.1028805859 0.0558991056 0.1545667865 0.1545667865 0.1366811858 0.1640174229
4.0000000000 BCG 3.0000000000 4516913.5249375198 0.2483249249 0.3158166265 0.3158166265 0.2810830614 0.3372996737
4.0000000000 BCG 4.0000000000 13957.5504611996 0.6415350406 0.6583104576 0.6583104576 0.7219524365 0.8663429238
5.0000000000 DT 1.0000000000 8604704.8738312051 0.2712155786 0.3595592169 0.3595592169 0.3152194453 0.3782633344
5.0000000000 DT 2.0000000000 24354113.7069544122 0.0450454077 0.0875860990 0.0875860990 0.0829850057 0.0995820068
5.0000000000 DT 3.0000000000 18417202.0762290433 0.1283362178 0.1860511125 0.1860511125 0.1706575730 0.2047890876
5.0000000000 DT 4.0000000000 41527.7509322765 0.3895034175 0.4016105041 0.4016105041 0.4383282650 0.5259939180
