Bundle Name m X Y_low Y Y_high R Rxtheta
1.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
4.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
5.0000000000 DT 1.0000000000 51417548.4079469368 0.1130069486 0.2040000000 0.2040000000 0.1700000000 0.2040000000
6.0000000000 DT 1.0000000000 59740044.1946197227 0.0972637420 0.2040000000 0.2040000000 0.1700000000 0.2040000000
7.0000000000 DTP 1.0000000000 51417548.4079469368 0.1130069486 0.2040000000 0.2040000000 0.1700000000 0.2040000000
8.0000000000 DTP 1.0000000000 108618262.1720358580 0.0534950581 0.2280000000 0.2280000000 0.1900000000 0.2280000000
9.0000000000 DTP-HepB-Hib 1.0000000000 51417548.4079469368 0.4520277943 0.9360000000 0.9360000000 0.7800000000 0.9360000000
10.0000000000 DTP-HepB-Hib 1.0000000000 52498826.7164840028 0.4427177224 1.3800000000 1.3800000000 1.1500000000 1.3800000000
11.0000000000 DTP-HepB-Hib 1.0000000000 52498826.7164840028 0.4427177224 1.2600000000 1.2600000000 1.0500000000 1.2600000000
12.0000000000 DTP-HepB-Hib 1.0000000000 51417548.4079469368 0.4520277943 1.4280000000 1.4280000000 1.1900000000 1.4280000000
13.0000000000 DTP-HepB-Hib 1.0000000000 51417548.4079469368 0.4520277943 1.3800000000 1.3800000000 1.1500000000 1.3800000000
14.0000000000 DTP-HepB-Hib 1.0000000000 42897683.5314783901 0.5418045703 0.9720000000 0.9720000000 0.8100000000 0.9720000000
15.0000000000 DTP-HepB-Hib 1.0000000000 51417548.4079469368 0.4520277943 0.9000000000 0.9000000000 0.7500000000 0.9000000000
16.0000000000 DTP-HepB-Hib 1.0000000000 51417548.4079469368 0.4520277943 0.9600000000 0.9600000000 0.8000000000 0.9600000000
17.0000000000 HPV 1.0000000000 92452768.4213405401 0.9183424493 1.0640846882 1.0640846882 4.6000000000 5.5200000000
18.0000000000 HPV 1.0000000000 19913348.0648732409 1.1671649046 5.4000000000 5.4000000000 4.5000000000 5.4000000000
19.0000000000 HepB 1.0000000000 51417548.4079469368 0.1130069486 0.5880000000 0.5880000000 0.4900000000 0.5880000000
20.0000000000 HepB 1.0000000000 42897683.5314783901 0.1354511426 0.7200000000 0.7200000000 0.6000000000 0.7200000000
21.0000000000 HepB 1.0000000000 51417548.4079469368 0.1130069486 0.2880000000 0.2880000000 0.2400000000 0.2880000000
22.0000000000 HepB 1.0000000000 42897683.5314783901 0.1354511426 0.3000000000 0.3000000000 0.2500000000 0.3000000000
23.0000000000 Hib 1.0000000000 52498826.7164840028 0.4292252752 2.5800000000 2.5800000000 2.1500000000 2.5800000000
24.0000000000 IPV 1.0000000000 21421935.0394848473 0.4172468955 2.5080000000 2.5080000000 2.0900000000 2.5080000000
25.0000000000 IPV 1.0000000000 52498826.7164840028 0.4891171741 2.9400000000 2.9400000000 2.4500000000 2.9400000000
