Bundle Name m X Y_low Y Y_high R Rxtheta
1.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.0000000000 BCG 1.0000000000 17796797.4832540117 0.0379315360 0.1470802171 0.1470802171 0.1705974731 0.2047169678
2.0000000000 BCG 2.0000000000 10733599.3806007430 0.0712684142 0.2235280396 0.2235280396 0.2094025269 0.2512830322
3.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
4.0000000000 BCG 1.0000000000 4213320.3157255836 0.0558991056 0.2766573228 0.2766573228 0.2514068025 0.3016881630
4.0000000000 BCG 2.0000000000 13889723.3796137273 0.1050271368 0.2766573228 0.2766573228 0.3085931975 0.3703118370
5.0000000000 DT 1.0000000000 51417548.4079469293 0.1130069486 0.1831678133 0.1831678133 0.1526398444 0.1831678133
5.0000000000 DT 2.0000000000 0.0000000000 0.0000000000 0.2248321868 0.0000000000 0.1873601556 0.2248321867
6.0000000000 DT 1.0000000000 0.0000000000 0.0000000000 0.0339387427 0.0000000000 0.1526398444 0.1831678133
6.0000000000 DT 2.0000000000 59740044.1946197227 0.0972637420 0.2248321867 0.2248321867 0.1873601556 0.2248321867
7.0000000000 DTP 1.0000000000 0.0000000000 0.0000000000 0.0339387427 0.0000000000 0.1526398444 0.1831678133
7.0000000000 DTP 2.0000000000 51417548.4079469293 0.1130069486 0.2248321867 0.2248321867 0.1873601556 0.2248321867
8.0000000000 DTP 1.0000000000 45279730.2935351357 0.0379315360 0.1624094682 0.1624094682 0.1705974731 0.2047169678
8.0000000000 DTP 2.0000000000 63338531.8785007223 0.0712684142 0.1667283952 0.1667283952 0.2094025269 0.2512830322
9.0000000000 DTP-HepB-Hib 1.0000000000 20750623.1034036502 0.4520277943 0.7578907663 0.7578907663 0.7003475213 0.8404170255
9.0000000000 DTP-HepB-Hib 2.0000000000 30666925.3045432791 0.4520277943 0.8603756708 0.8603756708 0.8596524787 1.0315829745
10.0000000000 DTP-HepB-Hib 1.0000000000 0.0000000000 0.0000000000 0.2295856123 0.0000000000 1.0325636531 1.2390763838
