Bundle Name m X Y_low Y Y_high R Rxtheta
1.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 3.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.0000000000 BCG 1.0000000000 16349499.3145459555 0.0712684142 0.1904662226 0.1904662226 0.2021556214 0.2425867457
2.0000000000 BCG 2.0000000000 12153465.0900738016 0.0379315360 0.1743312555 0.1743312555 0.1705974731 0.2047169678
2.0000000000 BCG 3.0000000000 27432.4592349983 0.1646503422 0.3578289798 0.3578289798 0.2999888456 0.3599866147
3.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 3.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
4.0000000000 BCG 1.0000000000 7347400.8756685145 0.1050271368 0.2624109215 0.2624109215 0.2979135473 0.3574962568
4.0000000000 BCG 2.0000000000 9856652.7089057937 0.0558991056 0.2577868354 0.2577868354 0.2514068025 0.3016881630
4.0000000000 BCG 3.0000000000 898990.1107650016 0.2426426096 0.2624109215 0.2624109215 0.4420888251 0.5305065901
5.0000000000 DT 1.0000000000 51417548.4079469293 0.1130069486 0.2170512987 0.2170512987 0.1808760823 0.2170512987
5.0000000000 DT 2.0000000000 0.0000000000 0.0000000000 0.0339387427 0.0000000000 0.1526398444 0.1831678133
5.0000000000 DT 3.0000000000 0.0000000000 0.0000000000 0.2170512987 0.0000000000 0.2684110724 0.3220932868
6.0000000000 DT 1.0000000000 0.0000000000 0.0000000000 0.2170512987 0.0000000000 0.1808760823 0.2170512987
6.0000000000 DT 2.0000000000 59740044.1946197227 0.0972637420 0.1831678133 0.1831678133 0.1526398444 0.1831678133
6.0000000000 DT 3.0000000000 0.0000000000 0.0000000000 0.2170512987 0.0000000000 0.2684110724 0.3220932868
7.0000000000 DTP 1.0000000000 0.0000000000 0.0000000000 0.2170512987 0.0000000000 0.1808760823 0.2170512987
7.0000000000 DTP 2.0000000000 51417548.4079469293 0.1130069486 0.1831678133 0.1831678133 0.1526398444 0.1831678133
