Bundle Name m X Y_low Y Y_high R Rxtheta
1.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.0000000000 BCG 1.0000000000 9843140.3330643103 0.3031232937 0.3363395534 0.3363395534 0.3752361210 0.4502833452
2.0000000000 BCG 2.0000000000 18687256.5307904445 0.0379315360 0.1329553819 0.1329553819 0.1370753940 0.1644904728
3.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
4.0000000000 BCG 1.0000000000 3376880.5098032253 0.4467080117 0.6242356603 0.6242356603 0.5529795467 0.6635754560
4.0000000000 BCG 2.0000000000 14726163.1855360866 0.0558991056 0.1732598755 0.1732598755 0.2020058438 0.2424070126
5.0000000000 DT 1.0000000000 0.0000000000 0.0000000000 0.2712155786 0.0000000000 0.3357375819 0.4028850983
5.0000000000 DT 2.0000000000 51417548.4079469368 0.1130069486 0.1471756862 0.1471756862 0.1226464052 0.1471756862
6.0000000000 DT 1.0000000000 31965323.3812857755 0.2712155786 0.2824011276 0.2824011276 0.3357375819 0.4028850983
6.0000000000 DT 2.0000000000 27774720.8133339472 0.0339387427 0.1298729729 0.1298729729 0.1226464052 0.1471756862
7.0000000000 DTP 1.0000000000 31965323.3812857755 0.2712155786 0.2824011276 0.2824011276 0.3357375819 0.4028850983
7.0000000000 DTP 2.0000000000 19452225.0266611613 0.0339387427 0.1338288101 0.1338288101 0.1226464052 0.1471756862
8.0000000000 DTP 1.0000000000 31965323.3812857643 0.3031232937 0.3156247896 0.3156247896 0.3752361210 0.4502833452
8.0000000000 DTP 2.0000000000 76652938.7907500863 0.0379315360 0.1231595331 0.1231595331 0.1370753940 0.1644904728
9.0000000000 DTP-HepB-Hib 1.0000000000 31965323.3812857829 1.2444008899 1.2957228206 1.2957228206 1.5404430230 1.8485316275
9.0000000000 DTP-HepB-Hib 2.0000000000 19452225.0266611539 0.1557189371 0.6140380701 0.6140380701 0.5627305649 0.6752766778
10.0000000000 DTP-HepB-Hib 1.0000000000 31965323.3812857717 1.8346936197 1.9103605689 1.9103605689 2.2711659954 2.7253991945
