Bundle Name m X Y_low Y Y_high R Rxtheta
1.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 3.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.0000000000 BCG 1.0000000000 13235292.4739779383 0.0379315360 0.0398817374 0.0398817374 0.0832203983 0.0998644779
2.0000000000 BCG 2.0000000000 3685208.0242052632 0.1191169078 0.1807735353 0.1807735353 0.1580639830 0.1896767796
2.0000000000 BCG 3.0000000000 11609896.3656715397 0.2183095607 0.3005425467 0.3005425467 0.3287156187 0.3944587425
3.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 3.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
4.0000000000 BCG 1.0000000000 135825.9985730834 0.0558991056 0.1468684892 0.1468684892 0.1226405869 0.1471687043
4.0000000000 BCG 2.0000000000 13561777.9790600426 0.1755407062 0.2052902659 0.2052902659 0.2329363960 0.2795236752
4.0000000000 BCG 3.0000000000 4405439.7177061848 0.3217193527 0.5440358817 0.5440358817 0.4844230171 0.5813076205
5.0000000000 DT 1.0000000000 18388564.5677148849 0.0339387427 0.0790386800 0.0790386800 0.0744603563 0.0893524276
5.0000000000 DT 2.0000000000 0.0000000000 0.0000000000 0.1065782859 0.0000000000 0.1414256690 0.1697108028
5.0000000000 DT 3.0000000000 33028983.8402320445 0.1953296070 0.2765126935 0.2765126935 0.2941139747 0.3529367696
6.0000000000 DT 1.0000000000 0.0000000000 0.0000000000 0.0893524276 0.0000000000 0.0744603563 0.0893524276
6.0000000000 DT 2.0000000000 45907264.5225048289 0.1065782859 0.1096809785 0.1096809785 0.1414256690 0.1697108028
6.0000000000 DT 3.0000000000 13832779.6721148938 0.1953296070 0.3290881341 0.3290881341 0.2941139747 0.3529367696
7.0000000000 DTP 1.0000000000 39310415.9375202656 0.0339387427 0.0408681633 0.0408681633 0.0744603563 0.0893524276
7.0000000000 DTP 2.0000000000 0.0000000000 0.0000000000 0.1697108028 0.0000000000 0.1414256690 0.1697108028
