ExpName[i], vacc_id, vacc_name, market, X_bm, YLow_bm, YHigh_bm, theta_Rbm, min_price\n
market_assignments_1,1,BCG,1,0.00,0.00,0.00,0.14,0.02
market_assignments_1,2,BCG,1,0.00,0.00,0.00,0.23,0.04
market_assignments_1,3,BCG,1,0.00,0.00,0.00,0.12,0.02
market_assignments_1,4,BCG,1,0.00,0.00,0.00,0.34,0.06
market_assignments_1,5,DT,1,51417548.41,0.11,0.20,0.20,0.03
market_assignments_1,6,DT,1,59740044.19,0.10,0.20,0.20,0.03
market_assignments_1,7,DTP,1,51417548.41,0.11,0.20,0.20,0.03
market_assignments_1,8,DTP,1,108618262.17,0.05,0.23,0.23,0.04
market_assignments_1,9,DTP-HepB-Hib,1,51417548.41,0.45,0.94,0.94,0.16
market_assignments_1,10,DTP-HepB-Hib,1,52498826.72,0.44,1.38,1.38,0.23
market_assignments_1,11,DTP-HepB-Hib,1,52498826.72,0.44,1.26,1.26,0.21
market_assignments_1,12,DTP-HepB-Hib,1,51417548.41,0.45,1.43,1.43,0.24
market_assignments_1,13,DTP-HepB-Hib,1,51417548.41,0.45,1.38,1.38,0.23
market_assignments_1,14,DTP-HepB-Hib,1,42897683.53,0.54,0.97,0.97,0.16
market_assignments_1,15,DTP-HepB-Hib,1,51417548.41,0.45,0.90,0.90,0.15
market_assignments_1,16,DTP-HepB-Hib,1,51417548.41,0.45,0.96,0.96,0.16
market_assignments_1,17,HPV,1,92452768.42,0.92,1.06,5.52,0.92
market_assignments_1,18,HPV,1,19913348.06,1.17,5.40,5.40,0.90
market_assignments_1,19,HepB,1,51417548.41,0.11,0.59,0.59,0.10
market_assignments_1,20,HepB,1,42897683.53,0.14,0.72,0.72,0.12
market_assignments_1,21,HepB,1,51417548.41,0.11,0.29,0.29,0.05
market_assignments_1,22,HepB,1,42897683.53,0.14,0.30,0.30,0.05
market_assignments_1,23,Hib,1,52498826.72,0.43,2.58,2.58,0.43
market_assignments_1,24,IPV,1,21421935.04,0.42,2.51,2.51,0.42
market_assignments_1,25,IPV,1,52498826.72,0.49,2.94,2.94,0.49
market_assignments_1,26,IPV,1,51417548.41,0.62,3.72,3.72,0.62
market_assignments_1,27,IPV,1,21421935.04,0.35,2.10,2.10,0.35
market_assignments_1,28,IPV,1,21421935.04,0.47,2.80,2.80,0.47
market_assignments_1,29,IPV,1,21421935.04,0.56,3.36,3.36,0.56
market_assignments_1,30,MMR,1,18103043.70,0.48,1.69,1.69,0.28
market_assignments_1,31,MMR,1,42843870.08,0.89,5.36,5.36,0.89
market_assignments_1,32,MMR,1,18103043.70,0.59,3.54,3.54,0.59
market_assignments_1,33,MMR,1,18103043.70,0.48,1.76,1.76,0.29
market_assignments_1,34,OPV,1,42843870.08,0.14,0.22,0.22,0.04
market_assignments_1,35,OPV,1,0.00,0.00,0.00,0.11,0.02
market_assignments_1,36,OPV,1,52498826.72,0.11,0.16,0.16,0.03
market_assignments_1,37,OPV,1,51417548.41,0.11,0.17,0.17,0.03
market_assignments_1,38,OPV,1,51417548.41,0.11,0.14,0.14,0.02
market_assignments_1,39,OPV,1,51417548.41,0.11,0.16,0.16,0.03
market_assignments_1,40,OPV,1,51417548.41,0.11,0.23,0.23,0.04
market_assignments_1,41,OPV,1,42897683.53,0.14,0.17,0.17,0.03
market_assignments_1,42,OPV,1,51417548.41,0.11,0.20,0.20,0.03
market_assignments_1,43,PCV,1,36206087.39,0.58,3.48,3.48,0.58
market_assignments_1,44,PCV,1,54309131.09,0.61,3.66,3.66,0.61
market_assignments_1,45,PCV,1,54309131.09,0.61,3.66,3.66,0.61
market_assignments_1,46,PCV,1,54309131.09,0.69,4.14,4.14,0.69
market_assignments_1,47,PCV,1,54309131.09,0.66,3.96,3.96,0.66
market_assignments_1,48,PCV,1,36206087.39,0.58,3.48,3.48,0.58
market_assignments_1,49,Rota,1,0.00,0.00,0.00,1.02,0.17
market_assignments_1,50,Rota,1,36206087.39,0.64,1.14,1.14,0.19
market_assignments_1,51,Rota,1,54309131.09,0.47,2.82,2.82,0.47
market_assignments_1,52,Td,1,131973340.77,0.07,0.07,0.13,0.02
market_assignments_1,53,Td,1,131973340.77,0.07,0.07,0.13,0.02
market_assignments_1,54,Td,1,0.00,0.00,0.00,0.11,0.02
market_assignments_1,55,Td,1,70498424.45,0.13,0.17,0.17,0.03
market_assignments_1,56,Td,1,0.00,0.00,0.00,0.12,0.02
market_assignments_1,57,Td,1,0.00,0.00,0.00,0.12,0.02
market_assignments_1,58,Td,1,0.00,0.00,0.00,0.11,0.02
market_assignments_1,59,YF,1,17499608.91,0.50,1.54,1.54,0.26
market_assignments_1,60,YF,1,17499608.91,0.50,1.16,1.16,0.19
market_assignments_1,61,YF,1,46226384.21,0.29,0.33,1.73,0.29
market_assignments_1,62,YF,1,17499608.91,0.50,1.16,1.16,0.19
