ExpName[i], vacc_id, vacc_name, market, X_bm, YLow_bm, YHigh_bm, theta_Rbm, min_price\n
market_assignments_Coverage_4_BH,1,BCG,1,0.00,0.00,0.00,0.13,0.02
market_assignments_Coverage_4_BH,1,BCG,2,0.00,0.00,0.00,0.13,0.03
market_assignments_Coverage_4_BH,1,BCG,3,0.00,0.00,0.00,0.15,0.05
market_assignments_Coverage_4_BH,1,BCG,4,0.00,0.00,0.00,0.17,0.05
market_assignments_Coverage_4_BH,2,BCG,1,8228037.09,0.04,0.13,0.20,0.04
market_assignments_Coverage_4_BH,2,BCG,2,9492859.33,0.04,0.16,0.21,0.04
market_assignments_Coverage_4_BH,2,BCG,3,6940329.48,0.07,0.18,0.23,0.07
market_assignments_Coverage_4_BH,2,BCG,4,3869170.96,0.07,0.25,0.27,0.07
market_assignments_Coverage_4_BH,3,BCG,1,0.00,0.00,0.00,0.10,0.02
market_assignments_Coverage_4_BH,3,BCG,2,0.00,0.00,0.00,0.11,0.02
market_assignments_Coverage_4_BH,3,BCG,3,0.00,0.00,0.00,0.12,0.04
market_assignments_Coverage_4_BH,3,BCG,4,0.00,0.00,0.00,0.14,0.04
market_assignments_Coverage_4_BH,4,BCG,1,1009869.97,0.06,0.29,0.29,0.06
market_assignments_Coverage_4_BH,4,BCG,2,3279351.41,0.07,0.29,0.31,0.07
market_assignments_Coverage_4_BH,4,BCG,3,2397568.37,0.11,0.30,0.34,0.11
market_assignments_Coverage_4_BH,4,BCG,4,11416253.95,0.11,0.30,0.40,0.11
market_assignments_Coverage_4_BH,5,DT,1,0.00,0.00,0.00,0.18,0.03
market_assignments_Coverage_4_BH,5,DT,2,38004434.43,0.04,0.07,0.19,0.04
market_assignments_Coverage_4_BH,5,DT,3,155764.71,0.06,0.21,0.21,0.06
market_assignments_Coverage_4_BH,5,DT,4,13257349.27,0.07,0.22,0.24,0.07
market_assignments_Coverage_4_BH,6,DT,1,155236.85,0.03,0.07,0.18,0.03
market_assignments_Coverage_4_BH,6,DT,2,312197.78,0.04,0.07,0.19,0.04
market_assignments_Coverage_4_BH,6,DT,3,27857928.84,0.06,0.07,0.21,0.06
market_assignments_Coverage_4_BH,6,DT,4,31414680.72,0.13,0.19,0.24,0.07
market_assignments_Coverage_4_BH,7,DTP,1,0.00,0.00,0.00,0.18,0.03
market_assignments_Coverage_4_BH,7,DTP,2,0.00,0.00,0.00,0.19,0.04
market_assignments_Coverage_4_BH,7,DTP,3,7226263.94,0.06,0.10,0.21,0.06
market_assignments_Coverage_4_BH,7,DTP,4,44191284.47,0.07,0.10,0.24,0.07
market_assignments_Coverage_4_BH,8,DTP,1,0.00,0.00,0.00,0.20,0.04
market_assignments_Coverage_4_BH,8,DTP,2,36277450.65,0.04,0.08,0.21,0.04
market_assignments_Coverage_4_BH,8,DTP,3,27857928.84,0.07,0.08,0.23,0.07
market_assignments_Coverage_4_BH,8,DTP,4,44482882.68,0.07,0.09,0.27,0.07
market_assignments_Coverage_4_BH,9,DTP-HepB-Hib,1,8487.60,0.16,0.42,0.81,0.16
market_assignments_Coverage_4_BH,9,DTP-HepB-Hib,2,7077970.83,0.18,0.42,0.87,0.18
