ExpName[i], vacc_id, vacc_name, market, X_bm, YLow_bm, YHigh_bm, theta_Rbm, min_price\n
market_assignments_Coverage_4_MC,1,BCG,1,0.00,0.00,0.00,0.16,0.05
market_assignments_Coverage_4_MC,1,BCG,2,0.00,0.00,0.00,0.13,0.02
market_assignments_Coverage_4_MC,1,BCG,3,0.00,0.00,0.00,0.23,0.10
market_assignments_Coverage_4_MC,1,BCG,4,0.00,0.00,0.00,0.14,0.03
market_assignments_Coverage_4_MC,2,BCG,1,8719125.47,0.07,0.22,0.25,0.07
market_assignments_Coverage_4_MC,2,BCG,2,14404877.00,0.04,0.14,0.20,0.04
market_assignments_Coverage_4_MC,2,BCG,3,422180.71,0.16,0.32,0.36,0.16
market_assignments_Coverage_4_MC,2,BCG,4,4984213.69,0.05,0.17,0.23,0.05
market_assignments_Coverage_4_MC,3,BCG,1,0.00,0.00,0.00,0.13,0.04
market_assignments_Coverage_4_MC,3,BCG,2,0.00,0.00,0.00,0.10,0.02
market_assignments_Coverage_4_MC,3,BCG,3,0.00,0.00,0.00,0.19,0.09
market_assignments_Coverage_4_MC,3,BCG,4,0.00,0.00,0.00,0.12,0.03
market_assignments_Coverage_4_MC,4,BCG,1,12315207.34,0.11,0.26,0.36,0.11
market_assignments_Coverage_4_MC,4,BCG,2,3167026.97,0.06,0.26,0.29,0.06
market_assignments_Coverage_4_MC,4,BCG,3,898990.11,0.24,0.26,0.53,0.24
market_assignments_Coverage_4_MC,4,BCG,4,1721819.27,0.08,0.26,0.33,0.08
market_assignments_Coverage_4_MC,5,DT,1,4173697.13,0.06,0.22,0.22,0.06
market_assignments_Coverage_4_MC,5,DT,2,25157227.57,0.03,0.07,0.18,0.03
market_assignments_Coverage_4_MC,5,DT,3,2065671.95,0.15,0.25,0.32,0.15
market_assignments_Coverage_4_MC,5,DT,4,20020951.76,0.05,0.07,0.20,0.05
market_assignments_Coverage_4_MC,6,DT,1,58929301.30,0.06,0.09,0.22,0.06
market_assignments_Coverage_4_MC,6,DT,2,0.00,0.00,0.00,0.18,0.03
