ExpName[i], vacc_id, vacc_name, market, X_bm, YLow_bm, YHigh_bm, theta_Rbm, min_price\n
market_assignments_GNI_3_MC,1,BCG,1,0.00,0.00,0.00,0.28,0.19
market_assignments_GNI_3_MC,1,BCG,2,0.00,0.00,0.00,0.07,0.02
market_assignments_GNI_3_MC,1,BCG,3,0.00,0.00,0.00,0.14,0.09
market_assignments_GNI_3_MC,2,BCG,1,3648645.86,0.30,0.42,0.45,0.30
market_assignments_GNI_3_MC,2,BCG,2,12908681.81,0.04,0.08,0.11,0.04
market_assignments_GNI_3_MC,2,BCG,3,11973069.19,0.14,0.17,0.23,0.14
market_assignments_GNI_3_MC,3,BCG,1,0.00,0.00,0.00,0.24,0.16
market_assignments_GNI_3_MC,3,BCG,2,0.00,0.00,0.00,0.06,0.02
market_assignments_GNI_3_MC,3,BCG,3,0.00,0.00,0.00,0.12,0.08
market_assignments_GNI_3_MC,4,BCG,1,9571374.98,0.49,0.50,0.66,0.45
market_assignments_GNI_3_MC,4,BCG,2,4395517.54,0.06,0.15,0.16,0.06
market_assignments_GNI_3_MC,4,BCG,3,4136151.18,0.21,0.32,0.34,0.21
market_assignments_GNI_3_MC,5,DT,1,6510494.41,0.27,0.39,0.40,0.27
market_assignments_GNI_3_MC,5,DT,2,24354113.71,0.06,0.09,0.10,0.03
market_assignments_GNI_3_MC,5,DT,3,20552940.29,0.13,0.18,0.20,0.13
market_assignments_GNI_3_MC,6,DT,1,31965323.38,0.27,0.28,0.40,0.27
market_assignments_GNI_3_MC,6,DT,2,0.00,0.00,0.00,0.10,0.03
market_assignments_GNI_3_MC,6,DT,3,27774720.81,0.13,0.17,0.20,0.13
market_assignments_GNI_3_MC,7,DTP,1,31965323.38,0.27,0.28,0.40,0.27
market_assignments_GNI_3_MC,7,DTP,2,0.00,0.00,0.00,0.10,0.03
market_assignments_GNI_3_MC,7,DTP,3,19452225.03,0.13,0.18,0.20,0.13
market_assignments_GNI_3_MC,8,DTP,1,31965323.38,0.30,0.32,0.45,0.30
market_assignments_GNI_3_MC,8,DTP,2,33694151.22,0.04,0.09,0.11,0.04
market_assignments_GNI_3_MC,8,DTP,3,42958787.57,0.14,0.15,0.23,0.14
market_assignments_GNI_3_MC,9,DTP-HepB-Hib,1,31965323.38,1.24,1.30,1.85,1.24
market_assignments_GNI_3_MC,9,DTP-HepB-Hib,2,19452225.03,0.16,0.42,0.46,0.16
market_assignments_GNI_3_MC,9,DTP-HepB-Hib,3,0.00,0.00,0.00,0.94,0.59
market_assignments_GNI_3_MC,10,DTP-HepB-Hib,1,31965323.38,1.83,1.91,2.73,1.83
market_assignments_GNI_3_MC,10,DTP-HepB-Hib,2,0.00,0.00,0.00,0.67,0.23
market_assignments_GNI_3_MC,10,DTP-HepB-Hib,3,20533503.34,0.87,1.24,1.39,0.87
market_assignments_GNI_3_MC,11,DTP-HepB-Hib,1,31965323.38,1.68,1.74,2.49,1.68
market_assignments_GNI_3_MC,11,DTP-HepB-Hib,2,0.00,0.00,0.00,0.62,0.21
market_assignments_GNI_3_MC,11,DTP-HepB-Hib,3,20533503.34,0.79,1.13,1.26,0.79
market_assignments_GNI_3_MC,12,DTP-HepB-Hib,1,31965323.38,1.90,1.98,2.82,1.90
market_assignments_GNI_3_MC,12,DTP-HepB-Hib,2,0.00,0.00,0.00,0.70,0.24
market_assignments_GNI_3_MC,12,DTP-HepB-Hib,3,19452225.03,0.90,1.29,1.43,0.90
market_assignments_GNI_3_MC,13,DTP-HepB-Hib,1,31965323.38,1.83,1.91,2.73,1.83
market_assignments_GNI_3_MC,13,DTP-HepB-Hib,2,0.00,0.00,0.00,0.67,0.23
market_assignments_GNI_3_MC,13,DTP-HepB-Hib,3,19452225.03,0.87,1.25,1.39,0.87
market_assignments_GNI_3_MC,14,DTP-HepB-Hib,1,31965323.38,1.29,1.35,1.92,1.29
market_assignments_GNI_3_MC,14,DTP-HepB-Hib,2,0.00,0.00,0.00,0.47,0.16
market_assignments_GNI_3_MC,14,DTP-HepB-Hib,3,10932360.15,0.61,0.92,0.98,0.61
market_assignments_GNI_3_MC,15,DTP-HepB-Hib,1,31965323.38,1.20,1.25,1.78,1.20
market_assignments_GNI_3_MC,15,DTP-HepB-Hib,2,19452225.03,0.15,0.40,0.44,0.15
market_assignments_GNI_3_MC,15,DTP-HepB-Hib,3,0.00,0.00,0.00,0.90,0.57
market_assignments_GNI_3_MC,16,DTP-HepB-Hib,1,31965323.38,1.28,1.33,1.90,1.28
market_assignments_GNI_3_MC,16,DTP-HepB-Hib,2,13008147.99,0.16,0.44,0.47,0.16
market_assignments_GNI_3_MC,16,DTP-HepB-Hib,3,6444077.04,0.60,0.94,0.96,0.60
market_assignments_GNI_3_MC,17,HPV,1,21310215.59,7.34,7.64,10.90,7.34
market_assignments_GNI_3_MC,17,HPV,2,34355609.43,0.92,1.01,2.69,0.92
market_assignments_GNI_3_MC,17,HPV,3,28639191.71,3.47,3.57,5.54,3.47
market_assignments_GNI_3_MC,18,HPV,1,16081309.78,7.18,7.67,10.66,7.18
market_assignments_GNI_3_MC,18,HPV,2,252789.26,0.90,2.63,2.64,0.90
market_assignments_GNI_3_MC,18,HPV,3,3579249.02,3.40,5.21,5.42,3.40
market_assignments_GNI_3_MC,19,HepB,1,31965323.38,0.78,0.81,1.16,0.78
market_assignments_GNI_3_MC,19,HepB,2,0.00,0.00,0.00,0.29,0.10
market_assignments_GNI_3_MC,19,HepB,3,19452225.03,0.37,0.53,0.59,0.37
market_assignments_GNI_3_MC,20,HepB,1,31965323.38,0.96,1.00,1.42,0.96
market_assignments_GNI_3_MC,20,HepB,2,0.00,0.00,0.00,0.35,0.12
market_assignments_GNI_3_MC,20,HepB,3,10932360.15,0.45,0.68,0.72,0.45
market_assignments_GNI_3_MC,21,HepB,1,31965323.38,0.38,0.40,0.57,0.38
market_assignments_GNI_3_MC,21,HepB,2,0.00,0.00,0.00,0.14,0.05
market_assignments_GNI_3_MC,21,HepB,3,19452225.03,0.18,0.26,0.29,0.18
market_assignments_GNI_3_MC,22,HepB,1,31965323.38,0.40,0.42,0.59,0.40
market_assignments_GNI_3_MC,22,HepB,2,0.00,0.00,0.00,0.15,0.05
market_assignments_GNI_3_MC,22,HepB,3,10932360.15,0.19,0.28,0.30,0.19
market_assignments_GNI_3_MC,23,Hib,1,31965323.38,3.43,3.57,5.10,3.43
market_assignments_GNI_3_MC,23,Hib,2,0.00,0.00,0.00,1.26,0.43
market_assignments_GNI_3_MC,23,Hib,3,20533503.34,1.62,2.32,2.59,1.62
market_assignments_GNI_3_MC,24,IPV,1,0.00,0.00,0.00,4.95,3.33
market_assignments_GNI_3_MC,24,IPV,2,21421935.04,0.42,1.22,1.22,0.42
market_assignments_GNI_3_MC,24,IPV,3,0.00,0.00,0.00,2.52,1.58
market_assignments_GNI_3_MC,25,IPV,1,31965323.38,3.91,4.07,5.81,3.91
market_assignments_GNI_3_MC,25,IPV,2,0.00,0.00,0.00,1.44,0.49
market_assignments_GNI_3_MC,25,IPV,3,20533503.34,1.85,2.64,2.95,1.85
market_assignments_GNI_3_MC,26,IPV,1,31965323.38,4.95,5.15,7.35,4.95
market_assignments_GNI_3_MC,26,IPV,2,0.00,0.00,0.00,1.82,0.62
market_assignments_GNI_3_MC,26,IPV,3,19452225.03,2.34,3.37,3.73,2.34
market_assignments_GNI_3_MC,27,IPV,1,0.00,0.00,0.00,4.15,2.79
market_assignments_GNI_3_MC,27,IPV,2,21421935.04,0.35,1.03,1.03,0.35
market_assignments_GNI_3_MC,27,IPV,3,0.00,0.00,0.00,2.11,1.32
market_assignments_GNI_3_MC,28,IPV,1,4011274.33,3.72,5.30,5.52,3.72
market_assignments_GNI_3_MC,28,IPV,2,9068727.97,0.47,1.22,1.36,0.47
market_assignments_GNI_3_MC,28,IPV,3,8341932.74,1.76,2.54,2.81,1.76
market_assignments_GNI_3_MC,29,IPV,1,21421935.04,4.47,6.64,6.64,4.47
market_assignments_GNI_3_MC,29,IPV,2,0.00,0.00,0.00,1.64,0.56
market_assignments_GNI_3_MC,29,IPV,3,0.00,0.00,0.00,3.37,2.11
market_assignments_GNI_3_MC,30,MMR,1,0.00,0.00,0.00,3.34,2.25
market_assignments_GNI_3_MC,30,MMR,2,18103043.70,0.48,0.83,0.83,0.28
market_assignments_GNI_3_MC,30,MMR,3,0.00,0.00,0.00,1.70,1.06
market_assignments_GNI_3_MC,31,MMR,1,21310215.59,7.13,7.43,10.59,7.13
market_assignments_GNI_3_MC,31,MMR,2,0.00,0.00,0.00,2.62,0.89
market_assignments_GNI_3_MC,31,MMR,3,21533654.49,3.37,4.32,5.38,3.37
market_assignments_GNI_3_MC,32,MMR,1,9015946.14,4.71,6.09,6.99,4.71
market_assignments_GNI_3_MC,32,MMR,2,0.00,0.00,0.00,1.73,0.59
market_assignments_GNI_3_MC,32,MMR,3,9087097.55,2.23,3.09,3.55,2.23
market_assignments_GNI_3_MC,33,MMR,1,0.00,0.00,0.00,3.48,2.35
market_assignments_GNI_3_MC,33,MMR,2,16505355.00,0.42,0.53,0.86,0.29
market_assignments_GNI_3_MC,33,MMR,3,1597688.69,1.11,1.74,1.77,1.11
market_assignments_GNI_3_MC,34,OPV,1,42620431.18,0.29,0.43,0.43,0.29
market_assignments_GNI_3_MC,34,OPV,2,0.00,0.00,0.00,0.11,0.04
market_assignments_GNI_3_MC,34,OPV,3,223438.90,0.14,0.22,0.22,0.14
market_assignments_GNI_3_MC,35,OPV,1,12523052.87,0.14,0.20,0.21,0.14
market_assignments_GNI_3_MC,35,OPV,2,2654374.23,0.02,0.05,0.05,0.02
market_assignments_GNI_3_MC,35,OPV,3,27666442.97,0.07,0.09,0.11,0.07
market_assignments_GNI_3_MC,36,OPV,1,42620431.18,0.21,0.22,0.31,0.21
market_assignments_GNI_3_MC,36,OPV,2,0.00,0.00,0.00,0.08,0.03
market_assignments_GNI_3_MC,36,OPV,3,9878395.54,0.10,0.15,0.16,0.10
market_assignments_GNI_3_MC,37,OPV,1,42620431.18,0.22,0.23,0.33,0.22
market_assignments_GNI_3_MC,37,OPV,2,0.00,0.00,0.00,0.08,0.03
market_assignments_GNI_3_MC,37,OPV,3,8797117.23,0.11,0.16,0.17,0.11
market_assignments_GNI_3_MC,38,OPV,1,10258174.47,0.19,0.27,0.28,0.19
market_assignments_GNI_3_MC,38,OPV,2,41159373.94,0.02,0.05,0.07,0.02
market_assignments_GNI_3_MC,38,OPV,3,0.00,0.00,0.00,0.14,0.09
market_assignments_GNI_3_MC,39,OPV,1,26014499.18,0.21,0.27,0.31,0.21
market_assignments_GNI_3_MC,39,OPV,2,25403049.22,0.03,0.07,0.08,0.03
market_assignments_GNI_3_MC,39,OPV,3,0.00,0.00,0.00,0.16,0.10
market_assignments_GNI_3_MC,40,OPV,1,42620431.18,0.30,0.32,0.45,0.30
market_assignments_GNI_3_MC,40,OPV,2,0.00,0.00,0.00,0.11,0.04
market_assignments_GNI_3_MC,40,OPV,3,8797117.23,0.14,0.22,0.23,0.14
market_assignments_GNI_3_MC,41,OPV,1,42620431.18,0.22,0.33,0.33,0.22
market_assignments_GNI_3_MC,41,OPV,2,0.00,0.00,0.00,0.08,0.03
market_assignments_GNI_3_MC,41,OPV,3,277252.36,0.11,0.17,0.17,0.11
market_assignments_GNI_3_MC,42,OPV,1,42620431.18,0.27,0.28,0.40,0.27
