ExpName[i], vacc_id, vacc_name, market, X_bm, YLow_bm, YHigh_bm, theta_Rbm, min_price\n
market_assignments_GNI_4_BH,1,BCG,1,0.00,0.00,0.00,0.06,0.02
market_assignments_GNI_4_BH,1,BCG,2,0.00,0.00,0.00,0.10,0.07
market_assignments_GNI_4_BH,1,BCG,3,0.00,0.00,0.00,0.15,0.11
market_assignments_GNI_4_BH,1,BCG,4,0.00,0.00,0.00,0.27,0.16
market_assignments_GNI_4_BH,2,BCG,1,7736899.38,0.04,0.07,0.09,0.04
market_assignments_GNI_4_BH,2,BCG,2,7793152.11,0.10,0.12,0.15,0.10
market_assignments_GNI_4_BH,2,BCG,3,8349099.76,0.17,0.18,0.23,0.17
market_assignments_GNI_4_BH,2,BCG,4,4651245.60,0.25,0.39,0.43,0.25
market_assignments_GNI_4_BH,3,BCG,1,0.00,0.00,0.00,0.05,0.02
market_assignments_GNI_4_BH,3,BCG,2,0.00,0.00,0.00,0.08,0.06
market_assignments_GNI_4_BH,3,BCG,3,0.00,0.00,0.00,0.12,0.09
market_assignments_GNI_4_BH,3,BCG,4,0.00,0.00,0.00,0.23,0.13
market_assignments_GNI_4_BH,4,BCG,1,2672747.06,0.06,0.12,0.13,0.06
market_assignments_GNI_4_BH,4,BCG,2,2692179.82,0.15,0.21,0.23,0.15
market_assignments_GNI_4_BH,4,BCG,3,3439851.36,0.25,0.32,0.34,0.25
market_assignments_GNI_4_BH,4,BCG,4,9298265.45,0.47,0.50,0.63,0.36
market_assignments_GNI_4_BH,5,DT,1,3670454.99,0.03,0.08,0.08,0.03
market_assignments_GNI_4_BH,5,DT,2,25888126.58,0.09,0.10,0.14,0.09
market_assignments_GNI_4_BH,5,DT,3,18696911.76,0.15,0.18,0.21,0.15
market_assignments_GNI_4_BH,5,DT,4,3162055.07,0.22,0.38,0.38,0.22
market_assignments_GNI_4_BH,6,DT,1,0.00,0.00,0.00,0.08,0.03
market_assignments_GNI_4_BH,6,DT,2,5567869.22,0.09,0.13,0.14,0.09
market_assignments_GNI_4_BH,6,DT,3,16669941.61,0.15,0.18,0.21,0.15
market_assignments_GNI_4_BH,6,DT,4,37502233.36,0.22,0.23,0.38,0.22
market_assignments_GNI_4_BH,7,DTP,1,0.00,0.00,0.00,0.08,0.03
market_assignments_GNI_4_BH,7,DTP,2,0.00,0.00,0.00,0.14,0.09
market_assignments_GNI_4_BH,7,DTP,3,13571250.62,0.15,0.19,0.21,0.15
market_assignments_GNI_4_BH,7,DTP,4,37846297.79,0.22,0.22,0.38,0.22
market_assignments_GNI_4_BH,8,DTP,1,17722857.37,0.04,0.07,0.09,0.04
market_assignments_GNI_4_BH,8,DTP,2,25888126.58,0.10,0.11,0.15,0.10
market_assignments_GNI_4_BH,8,DTP,3,27160980.42,0.17,0.17,0.23,0.17
market_assignments_GNI_4_BH,8,DTP,4,37846297.79,0.25,0.25,0.43,0.25
market_assignments_GNI_4_BH,9,DTP-HepB-Hib,1,13571250.62,0.16,0.32,0.36,0.16
market_assignments_GNI_4_BH,9,DTP-HepB-Hib,2,0.00,0.00,0.00,0.63,0.43
market_assignments_GNI_4_BH,9,DTP-HepB-Hib,3,0.00,0.00,0.00,0.95,0.69
market_assignments_GNI_4_BH,9,DTP-HepB-Hib,4,37846297.79,1.01,1.03,1.76,1.01
market_assignments_GNI_4_BH,10,DTP-HepB-Hib,1,0.00,0.00,0.00,0.53,0.23
market_assignments_GNI_4_BH,10,DTP-HepB-Hib,2,0.00,0.00,0.00,0.93,0.63
market_assignments_GNI_4_BH,10,DTP-HepB-Hib,3,14652528.93,1.02,1.26,1.41,1.02
market_assignments_GNI_4_BH,10,DTP-HepB-Hib,4,37846297.79,1.49,1.52,2.59,1.49
market_assignments_GNI_4_BH,11,DTP-HepB-Hib,1,0.00,0.00,0.00,0.48,0.21
market_assignments_GNI_4_BH,11,DTP-HepB-Hib,2,14652528.93,0.58,0.75,0.85,0.58
market_assignments_GNI_4_BH,11,DTP-HepB-Hib,3,0.00,0.00,0.00,1.29,0.93
market_assignments_GNI_4_BH,11,DTP-HepB-Hib,4,37846297.79,1.36,1.39,2.37,1.36
market_assignments_GNI_4_BH,12,DTP-HepB-Hib,1,0.00,0.00,0.00,0.55,0.24
market_assignments_GNI_4_BH,12,DTP-HepB-Hib,2,0.00,0.00,0.00,0.96,0.65
market_assignments_GNI_4_BH,12,DTP-HepB-Hib,3,13571250.62,1.05,1.32,1.46,1.05
market_assignments_GNI_4_BH,12,DTP-HepB-Hib,4,37846297.79,1.54,1.57,2.68,1.54
market_assignments_GNI_4_BH,13,DTP-HepB-Hib,1,0.00,0.00,0.00,0.53,0.23
market_assignments_GNI_4_BH,13,DTP-HepB-Hib,2,2267268.62,0.63,0.92,0.93,0.63
market_assignments_GNI_4_BH,13,DTP-HepB-Hib,3,11303981.99,1.02,1.30,1.41,1.02
market_assignments_GNI_4_BH,13,DTP-HepB-Hib,4,37846297.79,1.49,1.52,2.59,1.49
market_assignments_GNI_4_BH,14,DTP-HepB-Hib,1,0.00,0.00,0.00,0.37,0.16
market_assignments_GNI_4_BH,14,DTP-HepB-Hib,2,5051385.74,0.45,0.63,0.66,0.45
market_assignments_GNI_4_BH,14,DTP-HepB-Hib,3,0.00,0.00,0.00,0.99,0.72
market_assignments_GNI_4_BH,14,DTP-HepB-Hib,4,37846297.79,1.05,1.07,1.83,1.05
market_assignments_GNI_4_BH,15,DTP-HepB-Hib,1,13571250.62,0.15,0.31,0.35,0.15
market_assignments_GNI_4_BH,15,DTP-HepB-Hib,2,0.00,0.00,0.00,0.61,0.41
market_assignments_GNI_4_BH,15,DTP-HepB-Hib,3,0.00,0.00,0.00,0.92,0.66
market_assignments_GNI_4_BH,15,DTP-HepB-Hib,4,37846297.79,0.97,0.99,1.69,0.97
market_assignments_GNI_4_BH,16,DTP-HepB-Hib,1,4086438.10,0.16,0.36,0.37,0.16
market_assignments_GNI_4_BH,16,DTP-HepB-Hib,2,9484812.52,0.44,0.60,0.65,0.44
market_assignments_GNI_4_BH,16,DTP-HepB-Hib,3,0.00,0.00,0.00,0.98,0.71
market_assignments_GNI_4_BH,16,DTP-HepB-Hib,4,37846297.79,1.04,1.06,1.80,1.04
market_assignments_GNI_4_BH,17,HPV,1,20372629.28,0.92,0.98,2.12,0.92
market_assignments_GNI_4_BH,17,HPV,2,17258751.06,2.53,2.64,3.73,2.53
market_assignments_GNI_4_BH,17,HPV,3,18107320.28,4.07,4.20,5.63,4.07
market_assignments_GNI_4_BH,17,HPV,4,25230865.19,5.96,6.08,10.37,5.96
market_assignments_GNI_4_BH,18,HPV,1,446663.61,0.90,2.06,2.07,0.90
market_assignments_GNI_4_BH,18,HPV,2,3711912.82,2.48,3.50,3.64,2.48
market_assignments_GNI_4_BH,18,HPV,3,5470581.97,3.99,5.17,5.51,3.99
market_assignments_GNI_4_BH,18,HPV,4,10284189.67,5.83,8.77,10.14,5.83
market_assignments_GNI_4_BH,19,HepB,1,0.00,0.00,0.00,0.23,0.10
market_assignments_GNI_4_BH,19,HepB,2,0.00,0.00,0.00,0.40,0.27
market_assignments_GNI_4_BH,19,HepB,3,13571250.62,0.43,0.54,0.60,0.43
market_assignments_GNI_4_BH,19,HepB,4,37846297.79,0.64,0.65,1.10,0.64
market_assignments_GNI_4_BH,20,HepB,1,0.00,0.00,0.00,0.28,0.12
market_assignments_GNI_4_BH,20,HepB,2,0.00,0.00,0.00,0.49,0.33
market_assignments_GNI_4_BH,20,HepB,3,5051385.74,0.53,0.71,0.73,0.53
market_assignments_GNI_4_BH,20,HepB,4,37846297.79,0.78,0.79,1.35,0.78
market_assignments_GNI_4_BH,21,HepB,1,0.00,0.00,0.00,0.11,0.05
market_assignments_GNI_4_BH,21,HepB,2,0.00,0.00,0.00,0.19,0.13
market_assignments_GNI_4_BH,21,HepB,3,13571250.62,0.21,0.27,0.29,0.21
market_assignments_GNI_4_BH,21,HepB,4,37846297.79,0.31,0.32,0.54,0.31
market_assignments_GNI_4_BH,22,HepB,1,0.00,0.00,0.00,0.12,0.05
