ExpName[i], vacc_id, vacc_name, market, X_bm, YLow_bm, YHigh_bm, theta_Rbm, min_price\n
market_assignments_GNI_4_MC,1,BCG,1,0.00,0.00,0.00,0.27,0.19
market_assignments_GNI_4_MC,1,BCG,2,0.00,0.00,0.00,0.07,0.02
market_assignments_GNI_4_MC,1,BCG,3,0.00,0.00,0.00,0.14,0.09
market_assignments_GNI_4_MC,1,BCG,4,0.00,0.00,0.00,0.37,0.27
market_assignments_GNI_4_MC,2,BCG,1,4062967.09,0.30,0.39,0.42,0.30
market_assignments_GNI_4_MC,2,BCG,2,12861229.25,0.04,0.08,0.11,0.04
market_assignments_GNI_4_MC,2,BCG,3,11592306.84,0.14,0.18,0.23,0.14
market_assignments_GNI_4_MC,2,BCG,4,13893.69,0.44,0.45,0.59,0.44
market_assignments_GNI_4_MC,3,BCG,1,0.00,0.00,0.00,0.22,0.16
market_assignments_GNI_4_MC,3,BCG,2,0.00,0.00,0.00,0.06,0.02
market_assignments_GNI_4_MC,3,BCG,3,0.00,0.00,0.00,0.12,0.08
market_assignments_GNI_4_MC,3,BCG,4,0.00,0.00,0.00,0.31,0.23
market_assignments_GNI_4_MC,4,BCG,1,9129202.52,0.49,0.49,0.62,0.45
market_assignments_GNI_4_MC,4,BCG,2,4442970.10,0.06,0.15,0.16,0.06
market_assignments_GNI_4_MC,4,BCG,3,4516913.52,0.25,0.32,0.34,0.21
market_assignments_GNI_4_MC,4,BCG,4,13957.55,0.64,0.66,0.87,0.64
market_assignments_GNI_4_MC,5,DT,1,8604704.87,0.27,0.36,0.38,0.27
market_assignments_GNI_4_MC,5,DT,2,24354113.71,0.05,0.09,0.10,0.03
market_assignments_GNI_4_MC,5,DT,3,18417202.08,0.13,0.19,0.20,0.13
market_assignments_GNI_4_MC,5,DT,4,41527.75,0.39,0.40,0.53,0.39
market_assignments_GNI_4_MC,6,DT,1,29815032.94,0.27,0.28,0.38,0.27
market_assignments_GNI_4_MC,6,DT,2,0.00,0.00,0.00,0.10,0.03
market_assignments_GNI_4_MC,6,DT,3,29910459.03,0.13,0.17,0.20,0.13
market_assignments_GNI_4_MC,6,DT,4,14552.23,0.39,0.50,0.53,0.39
market_assignments_GNI_4_MC,7,DTP,1,29815032.94,0.27,0.28,0.38,0.27
market_assignments_GNI_4_MC,7,DTP,2,0.00,0.00,0.00,0.10,0.03
market_assignments_GNI_4_MC,7,DTP,3,21560642.82,0.13,0.18,0.20,0.13
market_assignments_GNI_4_MC,7,DTP,4,41872.65,0.39,0.40,0.53,0.39
market_assignments_GNI_4_MC,8,DTP,1,29815032.94,0.30,0.31,0.42,0.30
market_assignments_GNI_4_MC,8,DTP,2,35802569.01,0.04,0.09,0.11,0.04
market_assignments_GNI_4_MC,8,DTP,3,42958787.57,0.14,0.15,0.23,0.14
market_assignments_GNI_4_MC,8,DTP,4,41872.65,0.44,0.45,0.59,0.44
market_assignments_GNI_4_MC,9,DTP-HepB-Hib,1,29815032.94,1.24,1.29,1.74,1.24
market_assignments_GNI_4_MC,9,DTP-HepB-Hib,2,21560642.82,0.16,0.41,0.46,0.16
market_assignments_GNI_4_MC,9,DTP-HepB-Hib,3,0.00,0.00,0.00,0.94,0.59
market_assignments_GNI_4_MC,9,DTP-HepB-Hib,4,41872.65,1.79,1.83,2.41,1.79
market_assignments_GNI_4_MC,10,DTP-HepB-Hib,1,29815032.94,1.83,1.90,2.56,1.83
market_assignments_GNI_4_MC,10,DTP-HepB-Hib,2,0.00,0.00,0.00,0.67,0.23
market_assignments_GNI_4_MC,10,DTP-HepB-Hib,3,22641921.13,0.87,1.22,1.39,0.87
market_assignments_GNI_4_MC,10,DTP-HepB-Hib,4,41872.65,2.63,2.70,3.56,2.63
market_assignments_GNI_4_MC,11,DTP-HepB-Hib,1,29815032.94,1.68,1.73,2.34,1.68
market_assignments_GNI_4_MC,11,DTP-HepB-Hib,2,0.00,0.00,0.00,0.62,0.21
market_assignments_GNI_4_MC,11,DTP-HepB-Hib,3,22641921.13,0.79,1.11,1.26,0.79
market_assignments_GNI_4_MC,11,DTP-HepB-Hib,4,41872.65,2.41,2.47,3.25,2.41
market_assignments_GNI_4_MC,12,DTP-HepB-Hib,1,29815032.94,1.90,1.96,2.65,1.90
market_assignments_GNI_4_MC,12,DTP-HepB-Hib,2,0.00,0.00,0.00,0.70,0.24
market_assignments_GNI_4_MC,12,DTP-HepB-Hib,3,21560642.82,0.90,1.27,1.43,0.90
market_assignments_GNI_4_MC,12,DTP-HepB-Hib,4,41872.65,2.73,2.80,3.68,2.73
market_assignments_GNI_4_MC,13,DTP-HepB-Hib,1,29815032.94,1.83,1.90,2.56,1.83
market_assignments_GNI_4_MC,13,DTP-HepB-Hib,2,0.00,0.00,0.00,0.67,0.23
market_assignments_GNI_4_MC,13,DTP-HepB-Hib,3,21560642.82,0.87,1.23,1.39,0.87
market_assignments_GNI_4_MC,13,DTP-HepB-Hib,4,41872.65,2.63,2.70,3.56,2.63
market_assignments_GNI_4_MC,14,DTP-HepB-Hib,1,29815032.94,1.29,1.34,1.80,1.29
