ExpName[i], vacc_id, vacc_name, market, X_bm, YLow_bm, YHigh_bm, theta_Rbm, min_price\n
market_assignments_Coverage_2_MC,1,BCG,1,0.00,0.00,0.00,0.16,0.05
market_assignments_Coverage_2_MC,1,BCG,2,0.00,0.00,0.00,0.13,0.02
market_assignments_Coverage_2_MC,2,BCG,1,18366928.34,0.07,0.19,0.25,0.07
market_assignments_Coverage_2_MC,2,BCG,2,10163468.52,0.04,0.18,0.20,0.04
market_assignments_Coverage_2_MC,3,BCG,1,0.00,0.00,0.00,0.13,0.04
market_assignments_Coverage_2_MC,3,BCG,2,0.00,0.00,0.00,0.11,0.02
market_assignments_Coverage_2_MC,4,BCG,1,5080083.96,0.11,0.35,0.37,0.11
market_assignments_Coverage_2_MC,4,BCG,2,13022959.73,0.06,0.23,0.30,0.06
market_assignments_Coverage_2_MC,5,DT,1,51417548.41,0.11,0.23,0.23,0.06
market_assignments_Coverage_2_MC,5,DT,2,0.00,0.00,0.00,0.18,0.03
market_assignments_Coverage_2_MC,6,DT,1,0.00,0.00,0.00,0.23,0.06
market_assignments_Coverage_2_MC,6,DT,2,59740044.19,0.10,0.18,0.18,0.03
market_assignments_Coverage_2_MC,7,DTP,1,0.00,0.00,0.00,0.23,0.06
market_assignments_Coverage_2_MC,7,DTP,2,51417548.41,0.11,0.18,0.18,0.03
market_assignments_Coverage_2_MC,8,DTP,1,40263608.57,0.08,0.21,0.25,0.07
market_assignments_Coverage_2_MC,8,DTP,2,68354653.61,0.04,0.04,0.20,0.04
market_assignments_Coverage_2_MC,9,DTP-HepB-Hib,1,22260854.42,0.84,0.93,1.04,0.29
market_assignments_Coverage_2_MC,9,DTP-HepB-Hib,2,29156693.99,0.16,0.71,0.84,0.16
market_assignments_Coverage_2_MC,10,DTP-HepB-Hib,1,0.00,0.00,0.00,1.54,0.43
market_assignments_Coverage_2_MC,10,DTP-HepB-Hib,2,52498826.72,0.44,1.23,1.23,0.23
market_assignments_Coverage_2_MC,11,DTP-HepB-Hib,1,0.00,0.00,0.00,1.41,0.39
market_assignments_Coverage_2_MC,11,DTP-HepB-Hib,2,52498826.72,0.44,1.12,1.12,0.21
market_assignments_Coverage_2_MC,12,DTP-HepB-Hib,1,0.00,0.00,0.00,1.59,0.45
market_assignments_Coverage_2_MC,12,DTP-HepB-Hib,2,51417548.41,0.45,1.27,1.27,0.24
market_assignments_Coverage_2_MC,13,DTP-HepB-Hib,1,0.00,0.00,0.00,1.54,0.43
market_assignments_Coverage_2_MC,13,DTP-HepB-Hib,2,51417548.41,0.45,1.23,1.23,0.23
market_assignments_Coverage_2_MC,14,DTP-HepB-Hib,1,0.00,0.00,0.00,1.08,0.30
market_assignments_Coverage_2_MC,14,DTP-HepB-Hib,2,42897683.53,0.54,0.87,0.87,0.16
market_assignments_Coverage_2_MC,15,DTP-HepB-Hib,1,8273714.70,0.97,0.97,1.00,0.28
market_assignments_Coverage_2_MC,15,DTP-HepB-Hib,2,43143833.71,0.35,0.56,0.80,0.15
market_assignments_Coverage_2_MC,16,DTP-HepB-Hib,1,0.00,0.00,0.00,1.07,0.30
market_assignments_Coverage_2_MC,16,DTP-HepB-Hib,2,51417548.41,0.45,0.86,0.86,0.16
market_assignments_Coverage_2_MC,17,HPV,1,46692424.89,1.73,2.07,6.16,1.73
market_assignments_Coverage_2_MC,17,HPV,2,45569769.07,0.92,0.97,4.93,0.92
market_assignments_Coverage_2_MC,18,HPV,1,3858548.10,2.29,5.77,6.02,1.69
market_assignments_Coverage_2_MC,18,HPV,2,16054799.97,0.90,3.47,4.82,0.90
market_assignments_Coverage_2_MC,19,HepB,1,0.00,0.00,0.00,0.66,0.18
market_assignments_Coverage_2_MC,19,HepB,2,51417548.41,0.11,0.52,0.52,0.10
market_assignments_Coverage_2_MC,20,HepB,1,0.00,0.00,0.00,0.80,0.23
market_assignments_Coverage_2_MC,20,HepB,2,42897683.53,0.14,0.64,0.64,0.12
market_assignments_Coverage_2_MC,21,HepB,1,0.00,0.00,0.00,0.32,0.09
