ExpName[i], vacc_id, vacc_name, market, X_bm, YLow_bm, YHigh_bm, theta_Rbm, min_price\n
market_assignments_Coverage_3_BH,1,BCG,1,0.00,0.00,0.00,0.12,0.02
market_assignments_Coverage_3_BH,1,BCG,2,0.00,0.00,0.00,0.13,0.03
market_assignments_Coverage_3_BH,1,BCG,3,0.00,0.00,0.00,0.18,0.05
market_assignments_Coverage_3_BH,2,BCG,1,12176782.60,0.04,0.15,0.20,0.04
market_assignments_Coverage_3_BH,2,BCG,2,4057185.98,0.05,0.19,0.20,0.05
market_assignments_Coverage_3_BH,2,BCG,3,12296428.28,0.07,0.22,0.29,0.07
market_assignments_Coverage_3_BH,3,BCG,1,0.00,0.00,0.00,0.10,0.02
market_assignments_Coverage_3_BH,3,BCG,2,0.00,0.00,0.00,0.11,0.03
market_assignments_Coverage_3_BH,3,BCG,3,0.00,0.00,0.00,0.15,0.04
market_assignments_Coverage_3_BH,4,BCG,1,4165334.22,0.06,0.23,0.29,0.06
market_assignments_Coverage_3_BH,4,BCG,2,9689852.43,0.08,0.23,0.30,0.08
market_assignments_Coverage_3_BH,4,BCG,3,4247857.04,0.11,0.40,0.42,0.11
market_assignments_Coverage_3_BH,5,DT,1,298729.10,0.03,0.17,0.18,0.03
market_assignments_Coverage_3_BH,5,DT,2,13682630.90,0.05,0.17,0.18,0.05
market_assignments_Coverage_3_BH,5,DT,3,37436188.41,0.14,0.19,0.26,0.07
market_assignments_Coverage_3_BH,6,DT,1,47543376.63,0.06,0.06,0.18,0.03
market_assignments_Coverage_3_BH,6,DT,2,0.00,0.00,0.00,0.18,0.05
market_assignments_Coverage_3_BH,6,DT,3,12196667.57,0.24,0.24,0.26,0.07
market_assignments_Coverage_3_BH,7,DTP,1,0.00,0.00,0.00,0.18,0.03
market_assignments_Coverage_3_BH,7,DTP,2,40662166.23,0.05,0.08,0.18,0.05
market_assignments_Coverage_3_BH,7,DTP,3,10755382.17,0.07,0.24,0.26,0.07
market_assignments_Coverage_3_BH,8,DTP,1,18278623.73,0.04,0.08,0.20,0.04
market_assignments_Coverage_3_BH,8,DTP,2,40874648.08,0.05,0.08,0.20,0.05
market_assignments_Coverage_3_BH,8,DTP,3,49464990.36,0.07,0.09,0.29,0.07
market_assignments_Coverage_3_BH,9,DTP-HepB-Hib,1,0.00,0.00,0.00,0.81,0.16
market_assignments_Coverage_3_BH,9,DTP-HepB-Hib,2,40978677.78,0.30,0.30,0.83,0.21
market_assignments_Coverage_3_BH,9,DTP-HepB-Hib,3,10438870.63,1.05,1.12,1.18,0.31
market_assignments_Coverage_3_BH,10,DTP-HepB-Hib,1,0.00,0.00,0.00,1.19,0.23
market_assignments_Coverage_3_BH,10,DTP-HepB-Hib,2,41108263.56,0.39,0.39,1.22,0.31
market_assignments_Coverage_3_BH,10,DTP-HepB-Hib,3,11390563.16,0.65,1.65,1.73,0.45
market_assignments_Coverage_3_BH,11,DTP-HepB-Hib,1,46578960.47,0.30,0.52,1.08,0.21
market_assignments_Coverage_3_BH,11,DTP-HepB-Hib,2,0.00,0.00,0.00,1.11,0.29
market_assignments_Coverage_3_BH,11,DTP-HepB-Hib,3,5919866.24,1.54,1.54,1.58,0.41
market_assignments_Coverage_3_BH,12,DTP-HepB-Hib,1,0.00,0.00,0.00,1.23,0.24
market_assignments_Coverage_3_BH,12,DTP-HepB-Hib,2,41108263.56,0.40,0.40,1.26,0.33
market_assignments_Coverage_3_BH,12,DTP-HepB-Hib,3,10309284.85,0.66,1.71,1.79,0.47
market_assignments_Coverage_3_BH,13,DTP-HepB-Hib,1,0.00,0.00,0.00,1.19,0.23
market_assignments_Coverage_3_BH,13,DTP-HepB-Hib,2,41108263.56,0.39,0.39,1.22,0.31
