ExpName[i], vacc_id, vacc_name, market, X_bm, YLow_bm, YHigh_bm, theta_Rbm, min_price\n
market_assignments_GNI_2_MC,1,BCG,1,0.00,0.00,0.00,0.28,0.19
market_assignments_GNI_2_MC,1,BCG,2,0.00,0.00,0.00,0.10,0.02
market_assignments_GNI_2_MC,2,BCG,1,9843140.33,0.30,0.34,0.45,0.30
market_assignments_GNI_2_MC,2,BCG,2,18687256.53,0.04,0.13,0.16,0.04
market_assignments_GNI_2_MC,3,BCG,1,0.00,0.00,0.00,0.24,0.16
market_assignments_GNI_2_MC,3,BCG,2,0.00,0.00,0.00,0.09,0.02
market_assignments_GNI_2_MC,4,BCG,1,3376880.51,0.45,0.62,0.66,0.45
market_assignments_GNI_2_MC,4,BCG,2,14726163.19,0.06,0.17,0.24,0.06
market_assignments_GNI_2_MC,5,DT,1,0.00,0.00,0.00,0.40,0.27
market_assignments_GNI_2_MC,5,DT,2,51417548.41,0.11,0.15,0.15,0.03
market_assignments_GNI_2_MC,6,DT,1,31965323.38,0.27,0.28,0.40,0.27
market_assignments_GNI_2_MC,6,DT,2,27774720.81,0.03,0.13,0.15,0.03
market_assignments_GNI_2_MC,7,DTP,1,31965323.38,0.27,0.28,0.40,0.27
market_assignments_GNI_2_MC,7,DTP,2,19452225.03,0.03,0.13,0.15,0.03
market_assignments_GNI_2_MC,8,DTP,1,31965323.38,0.30,0.32,0.45,0.30
market_assignments_GNI_2_MC,8,DTP,2,76652938.79,0.04,0.12,0.16,0.04
market_assignments_GNI_2_MC,9,DTP-HepB-Hib,1,31965323.38,1.24,1.30,1.85,1.24
market_assignments_GNI_2_MC,9,DTP-HepB-Hib,2,19452225.03,0.16,0.61,0.68,0.16
market_assignments_GNI_2_MC,10,DTP-HepB-Hib,1,31965323.38,1.83,1.91,2.73,1.83
market_assignments_GNI_2_MC,10,DTP-HepB-Hib,2,20533503.34,0.23,0.90,1.00,0.23
market_assignments_GNI_2_MC,11,DTP-HepB-Hib,1,31965323.38,1.68,1.74,2.49,1.68
market_assignments_GNI_2_MC,11,DTP-HepB-Hib,2,20533503.34,0.21,0.82,0.91,0.21
market_assignments_GNI_2_MC,12,DTP-HepB-Hib,1,31965323.38,1.90,1.98,2.82,1.90
market_assignments_GNI_2_MC,12,DTP-HepB-Hib,2,19452225.03,0.24,0.94,1.03,0.24
market_assignments_GNI_2_MC,13,DTP-HepB-Hib,1,31965323.38,1.83,1.91,2.73,1.83
market_assignments_GNI_2_MC,13,DTP-HepB-Hib,2,19452225.03,0.23,0.91,1.00,0.23
market_assignments_GNI_2_MC,14,DTP-HepB-Hib,1,31965323.38,1.29,1.35,1.92,1.29
market_assignments_GNI_2_MC,14,DTP-HepB-Hib,2,10932360.15,0.16,0.66,0.70,0.16
market_assignments_GNI_2_MC,15,DTP-HepB-Hib,1,31965323.38,1.20,1.25,1.78,1.20
market_assignments_GNI_2_MC,15,DTP-HepB-Hib,2,19452225.03,0.15,0.59,0.65,0.15
market_assignments_GNI_2_MC,16,DTP-HepB-Hib,1,31965323.38,1.28,1.33,1.90,1.28
market_assignments_GNI_2_MC,16,DTP-HepB-Hib,2,19452225.03,0.16,0.63,0.69,0.16
market_assignments_GNI_2_MC,17,HPV,1,21310215.59,7.34,7.64,10.90,7.34
market_assignments_GNI_2_MC,17,HPV,2,66704027.08,0.92,1.13,3.98,0.92
market_assignments_GNI_2_MC,18,HPV,1,19790535.71,7.18,10.66,10.66,7.18
market_assignments_GNI_2_MC,18,HPV,2,122812.36,0.90,3.89,3.90,0.90
market_assignments_GNI_2_MC,19,HepB,1,31965323.38,0.78,0.81,1.16,0.78
market_assignments_GNI_2_MC,19,HepB,2,19452225.03,0.10,0.39,0.42,0.10
market_assignments_GNI_2_MC,20,HepB,1,31965323.38,0.96,1.00,1.42,0.96
market_assignments_GNI_2_MC,20,HepB,2,10932360.15,0.12,0.49,0.52,0.12
market_assignments_GNI_2_MC,21,HepB,1,31965323.38,0.38,0.40,0.57,0.38
market_assignments_GNI_2_MC,21,HepB,2,19452225.03,0.05,0.19,0.21,0.05
market_assignments_GNI_2_MC,22,HepB,1,31965323.38,0.40,0.42,0.59,0.40
market_assignments_GNI_2_MC,22,HepB,2,10932360.15,0.05,0.20,0.22,0.05
market_assignments_GNI_2_MC,23,Hib,1,31965323.38,3.43,3.57,5.10,3.43
market_assignments_GNI_2_MC,23,Hib,2,20533503.34,0.43,1.69,1.86,0.43
market_assignments_GNI_2_MC,24,IPV,1,21421935.04,3.33,4.95,4.95,3.33
market_assignments_GNI_2_MC,24,IPV,2,0.00,0.00,0.00,1.81,0.42
market_assignments_GNI_2_MC,25,IPV,1,31965323.38,3.91,4.07,5.81,3.91
market_assignments_GNI_2_MC,25,IPV,2,20533503.34,0.49,1.92,2.12,0.49
market_assignments_GNI_2_MC,26,IPV,1,4674857.66,4.95,7.16,7.35,4.95
market_assignments_GNI_2_MC,26,IPV,2,46742690.75,0.62,1.66,2.68,0.62
market_assignments_GNI_2_MC,27,IPV,1,4939902.51,2.79,3.94,4.15,2.79
market_assignments_GNI_2_MC,27,IPV,2,16482032.53,0.35,1.13,1.52,0.35
market_assignments_GNI_2_MC,28,IPV,1,21421935.04,3.72,5.52,5.52,3.72
market_assignments_GNI_2_MC,28,IPV,2,0.00,0.00,0.00,2.02,0.47
market_assignments_GNI_2_MC,29,IPV,1,4939902.51,4.47,6.30,6.64,4.47
market_assignments_GNI_2_MC,29,IPV,2,16482032.53,0.56,1.81,2.42,0.56
market_assignments_GNI_2_MC,30,MMR,1,0.00,0.00,0.00,3.34,2.25
market_assignments_GNI_2_MC,30,MMR,2,18103043.70,0.48,1.22,1.22,0.28
market_assignments_GNI_2_MC,31,MMR,1,21310215.59,7.13,7.43,10.59,7.13
market_assignments_GNI_2_MC,31,MMR,2,21533654.49,0.89,3.37,3.87,0.89
market_assignments_GNI_2_MC,32,MMR,1,1350041.99,4.71,6.88,6.99,4.71
market_assignments_GNI_2_MC,32,MMR,2,16753001.71,0.59,1.52,2.55,0.59
market_assignments_GNI_2_MC,33,MMR,1,7665904.16,2.35,3.12,3.48,2.35
market_assignments_GNI_2_MC,33,MMR,2,10437139.54,0.29,1.07,1.27,0.29
market_assignments_GNI_2_MC,34,OPV,1,42620431.18,0.29,0.43,0.43,0.29
market_assignments_GNI_2_MC,34,OPV,2,223438.90,0.04,0.16,0.16,0.04
market_assignments_GNI_2_MC,35,OPV,1,42620431.18,0.14,0.21,0.21,0.14
market_assignments_GNI_2_MC,35,OPV,2,223438.90,0.02,0.08,0.08,0.02
market_assignments_GNI_2_MC,36,OPV,1,42620431.18,0.21,0.22,0.31,0.21
market_assignments_GNI_2_MC,36,OPV,2,9878395.54,0.03,0.11,0.11,0.03
market_assignments_GNI_2_MC,37,OPV,1,42620431.18,0.22,0.23,0.33,0.22
market_assignments_GNI_2_MC,37,OPV,2,8797117.23,0.03,0.12,0.12,0.03
market_assignments_GNI_2_MC,38,OPV,1,42620431.18,0.19,0.20,0.28,0.19
market_assignments_GNI_2_MC,38,OPV,2,8797117.23,0.02,0.10,0.10,0.02
market_assignments_GNI_2_MC,39,OPV,1,5280054.60,0.21,0.30,0.31,0.21
market_assignments_GNI_2_MC,39,OPV,2,46137493.81,0.03,0.07,0.11,0.03
market_assignments_GNI_2_MC,40,OPV,1,895240.76,0.30,0.45,0.45,0.30
market_assignments_GNI_2_MC,40,OPV,2,50522307.65,0.04,0.07,0.16,0.04
market_assignments_GNI_2_MC,41,OPV,1,42620431.18,0.22,0.33,0.33,0.22
market_assignments_GNI_2_MC,41,OPV,2,277252.36,0.03,0.12,0.12,0.03
market_assignments_GNI_2_MC,42,OPV,1,42620431.18,0.27,0.28,0.40,0.27
market_assignments_GNI_2_MC,42,OPV,2,8797117.23,0.03,0.14,0.15,0.03
market_assignments_GNI_2_MC,43,PCV,1,31965323.38,4.63,6.87,6.87,4.63
market_assignments_GNI_2_MC,43,PCV,2,4240764.01,0.58,2.45,2.51,0.58
market_assignments_GNI_2_MC,44,PCV,1,31965323.38,4.87,5.07,7.23,4.87
market_assignments_GNI_2_MC,44,PCV,2,22343807.70,0.61,2.37,2.64,0.61
market_assignments_GNI_2_MC,45,PCV,1,31965323.38,4.87,5.07,7.23,4.87
market_assignments_GNI_2_MC,45,PCV,2,22343807.70,0.61,2.37,2.64,0.61
market_assignments_GNI_2_MC,46,PCV,1,31965323.38,5.50,5.73,8.18,5.50
market_assignments_GNI_2_MC,46,PCV,2,22343807.70,0.69,2.69,2.99,0.69
market_assignments_GNI_2_MC,47,PCV,1,29581823.07,5.26,5.83,7.82,5.26
market_assignments_GNI_2_MC,47,PCV,2,24727308.02,0.66,2.53,2.86,0.66
market_assignments_GNI_2_MC,48,PCV,1,31965323.38,4.63,6.87,6.87,4.63
market_assignments_GNI_2_MC,48,PCV,2,4240764.01,0.58,2.45,2.51,0.58
market_assignments_GNI_2_MC,49,Rota,1,21310215.59,1.36,2.01,2.01,1.36
market_assignments_GNI_2_MC,49,Rota,2,413436.85,0.17,0.73,0.74,0.17
market_assignments_GNI_2_MC,50,Rota,1,2791600.30,1.52,2.20,2.25,1.52
market_assignments_GNI_2_MC,50,Rota,2,33414487.09,0.19,0.49,0.82,0.19
market_assignments_GNI_2_MC,51,Rota,1,21310215.59,3.75,3.90,5.57,3.75
market_assignments_GNI_2_MC,51,Rota,2,32998915.50,0.47,1.69,2.03,0.47
market_assignments_GNI_2_MC,52,Td,1,31965323.38,0.18,0.18,0.26,0.18
market_assignments_GNI_2_MC,52,Td,2,99820794.60,0.02,0.03,0.10,0.02
market_assignments_GNI_2_MC,53,Td,1,31965323.38,0.18,0.18,0.26,0.18
market_assignments_GNI_2_MC,53,Td,2,99820794.60,0.02,0.03,0.10,0.02
market_assignments_GNI_2_MC,54,Td,1,0.00,0.00,0.00,0.21,0.14
market_assignments_GNI_2_MC,54,Td,2,0.00,0.00,0.00,0.08,0.02
market_assignments_GNI_2_MC,55,Td,1,31965323.38,0.22,0.23,0.33,0.22
market_assignments_GNI_2_MC,55,Td,2,38533101.07,0.06,0.10,0.12,0.03
market_assignments_GNI_2_MC,56,Td,1,31965323.38,0.16,0.17,0.24,0.16
market_assignments_GNI_2_MC,56,Td,2,38533101.07,0.02,0.07,0.09,0.02
market_assignments_GNI_2_MC,57,Td,1,31965323.38,0.17,0.17,0.24,0.16
market_assignments_GNI_2_MC,57,Td,2,58549895.10,0.07,0.07,0.09,0.02
market_assignments_GNI_2_MC,58,Td,1,31965323.38,0.14,0.15,0.21,0.14
market_assignments_GNI_2_MC,58,Td,2,58549895.10,0.02,0.06,0.08,0.02
market_assignments_GNI_2_MC,59,YF,1,10655107.79,2.04,2.13,3.03,2.04
market_assignments_GNI_2_MC,59,YF,2,6844501.11,0.26,1.00,1.11,0.26
market_assignments_GNI_2_MC,60,YF,1,10655107.79,1.55,1.61,2.30,1.55
market_assignments_GNI_2_MC,60,YF,2,6844501.11,0.19,0.76,0.84,0.19
market_assignments_GNI_2_MC,61,YF,1,10655107.79,2.30,2.39,3.41,2.30
market_assignments_GNI_2_MC,61,YF,2,33352013.54,0.29,0.35,1.25,0.29
market_assignments_GNI_2_MC,62,YF,1,10655107.79,1.55,1.61,2.30,1.55
market_assignments_GNI_2_MC,62,YF,2,6844501.11,0.19,0.76,0.84,0.19
