ExpName[i], vacc_id, vacc_name, market, X_bm, YLow_bm, YHigh_bm, theta_Rbm, min_price\n
market_assignments_GNI_3_BH,1,BCG,1,0.00,0.00,0.00,0.06,0.02
market_assignments_GNI_3_BH,1,BCG,2,0.00,0.00,0.00,0.12,0.08
market_assignments_GNI_3_BH,1,BCG,3,0.00,0.00,0.00,0.25,0.14
market_assignments_GNI_3_BH,2,BCG,1,13235292.47,0.04,0.04,0.10,0.04
market_assignments_GNI_3_BH,2,BCG,2,3685208.02,0.12,0.18,0.19,0.12
market_assignments_GNI_3_BH,2,BCG,3,11609896.37,0.22,0.30,0.39,0.22
market_assignments_GNI_3_BH,3,BCG,1,0.00,0.00,0.00,0.05,0.02
market_assignments_GNI_3_BH,3,BCG,2,0.00,0.00,0.00,0.10,0.06
market_assignments_GNI_3_BH,3,BCG,3,0.00,0.00,0.00,0.21,0.11
market_assignments_GNI_3_BH,4,BCG,1,135826.00,0.06,0.15,0.15,0.06
market_assignments_GNI_3_BH,4,BCG,2,13561777.98,0.18,0.21,0.28,0.18
market_assignments_GNI_3_BH,4,BCG,3,4405439.72,0.32,0.54,0.58,0.32
market_assignments_GNI_3_BH,5,DT,1,18388564.57,0.03,0.08,0.09,0.03
market_assignments_GNI_3_BH,5,DT,2,0.00,0.00,0.00,0.17,0.11
market_assignments_GNI_3_BH,5,DT,3,33028983.84,0.20,0.28,0.35,0.20
market_assignments_GNI_3_BH,6,DT,1,0.00,0.00,0.00,0.09,0.03
market_assignments_GNI_3_BH,6,DT,2,45907264.52,0.11,0.11,0.17,0.11
market_assignments_GNI_3_BH,6,DT,3,13832779.67,0.20,0.33,0.35,0.20
market_assignments_GNI_3_BH,7,DTP,1,39310415.94,0.03,0.04,0.09,0.03
market_assignments_GNI_3_BH,7,DTP,2,0.00,0.00,0.00,0.17,0.11
market_assignments_GNI_3_BH,7,DTP,3,12107132.47,0.20,0.33,0.35,0.20
market_assignments_GNI_3_BH,8,DTP,1,39742725.12,0.04,0.04,0.10,0.04
market_assignments_GNI_3_BH,8,DTP,2,45907264.52,0.12,0.12,0.19,0.12
market_assignments_GNI_3_BH,8,DTP,3,22968272.53,0.22,0.34,0.39,0.22
market_assignments_GNI_3_BH,9,DTP-HepB-Hib,1,35057053.66,0.16,0.27,0.41,0.16
market_assignments_GNI_3_BH,9,DTP-HepB-Hib,2,16360494.75,0.49,0.72,0.78,0.49
market_assignments_GNI_3_BH,9,DTP-HepB-Hib,3,0.00,0.00,0.00,1.62,0.90
market_assignments_GNI_3_BH,10,DTP-HepB-Hib,1,39742725.12,0.24,0.24,0.60,0.23
market_assignments_GNI_3_BH,10,DTP-HepB-Hib,2,6784727.23,0.88,1.12,1.15,0.72
market_assignments_GNI_3_BH,10,DTP-HepB-Hib,3,5971374.37,1.32,2.32,2.39,1.32
market_assignments_GNI_3_BH,11,DTP-HepB-Hib,1,29813980.38,0.22,0.42,0.55,0.21
market_assignments_GNI_3_BH,11,DTP-HepB-Hib,2,19247666.34,0.66,0.96,1.05,0.66
market_assignments_GNI_3_BH,11,DTP-HepB-Hib,3,3437180.00,1.21,2.15,2.18,1.21
market_assignments_GNI_3_BH,12,DTP-HepB-Hib,1,0.00,0.00,0.00,0.63,0.24
market_assignments_GNI_3_BH,12,DTP-HepB-Hib,2,19127357.78,0.75,1.08,1.19,0.75
market_assignments_GNI_3_BH,12,DTP-HepB-Hib,3,32290190.63,1.37,1.96,2.47,1.37
market_assignments_GNI_3_BH,13,DTP-HepB-Hib,1,0.00,0.00,0.00,0.60,0.23
market_assignments_GNI_3_BH,13,DTP-HepB-Hib,2,19127357.78,0.72,1.05,1.15,0.72
market_assignments_GNI_3_BH,13,DTP-HepB-Hib,3,32290190.63,1.32,1.89,2.39,1.32
market_assignments_GNI_3_BH,14,DTP-HepB-Hib,1,0.00,0.00,0.00,0.43,0.16
market_assignments_GNI_3_BH,14,DTP-HepB-Hib,2,42897683.53,0.54,0.81,0.81,0.51
market_assignments_GNI_3_BH,14,DTP-HepB-Hib,3,0.00,0.00,0.00,1.68,0.93
market_assignments_GNI_3_BH,15,DTP-HepB-Hib,1,0.00,0.00,0.00,0.39,0.15
market_assignments_GNI_3_BH,15,DTP-HepB-Hib,2,7463164.29,0.47,0.73,0.75,0.47
market_assignments_GNI_3_BH,15,DTP-HepB-Hib,3,43954384.12,0.86,0.89,1.56,0.86
market_assignments_GNI_3_BH,16,DTP-HepB-Hib,1,0.00,0.00,0.00,0.42,0.16
market_assignments_GNI_3_BH,16,DTP-HepB-Hib,2,45907264.52,0.50,0.51,0.80,0.50
market_assignments_GNI_3_BH,16,DTP-HepB-Hib,3,5510283.89,0.92,1.62,1.66,0.92
market_assignments_GNI_3_BH,17,HPV,1,26495150.08,0.92,0.95,2.42,0.92
market_assignments_GNI_3_BH,17,HPV,2,30604843.02,2.88,2.97,4.59,2.88
market_assignments_GNI_3_BH,17,HPV,3,29302922.74,5.29,5.48,9.55,5.29
market_assignments_GNI_3_BH,18,HPV,1,14085966.14,0.90,1.85,2.37,0.90
market_assignments_GNI_3_BH,18,HPV,2,3889128.99,2.82,4.30,4.49,2.82
market_assignments_GNI_3_BH,18,HPV,3,1938252.93,5.17,9.15,9.34,5.17
market_assignments_GNI_3_BH,19,HepB,1,39742725.12,0.10,0.10,0.26,0.10
market_assignments_GNI_3_BH,19,HepB,2,11674823.29,0.31,0.46,0.49,0.31
market_assignments_GNI_3_BH,19,HepB,3,0.00,0.00,0.00,1.02,0.56
market_assignments_GNI_3_BH,20,HepB,1,39742725.12,0.12,0.12,0.32,0.12
market_assignments_GNI_3_BH,20,HepB,2,3154958.41,0.38,0.59,0.60,0.38
market_assignments_GNI_3_BH,20,HepB,3,0.00,0.00,0.00,1.25,0.69
market_assignments_GNI_3_BH,21,HepB,1,0.00,0.00,0.00,0.13,0.05
market_assignments_GNI_3_BH,21,HepB,2,45907264.52,0.15,0.15,0.24,0.15
market_assignments_GNI_3_BH,21,HepB,3,5510283.89,0.28,0.49,0.50,0.28
market_assignments_GNI_3_BH,22,HepB,1,37452273.07,0.05,0.08,0.13,0.05
market_assignments_GNI_3_BH,22,HepB,2,0.00,0.00,0.00,0.25,0.16
market_assignments_GNI_3_BH,22,HepB,3,5445410.46,0.29,0.51,0.52,0.29
market_assignments_GNI_3_BH,23,Hib,1,24877095.09,0.43,0.93,1.13,0.43
market_assignments_GNI_3_BH,23,Hib,2,19247666.34,1.35,1.96,2.15,1.35
market_assignments_GNI_3_BH,23,Hib,3,8374065.29,2.47,4.29,4.46,2.47
market_assignments_GNI_3_BH,24,IPV,1,0.00,0.00,0.00,1.10,0.42
market_assignments_GNI_3_BH,24,IPV,2,9593949.13,1.31,1.85,2.09,1.31
market_assignments_GNI_3_BH,24,IPV,3,11827985.91,2.40,3.70,4.34,2.40
market_assignments_GNI_3_BH,25,IPV,1,39742725.12,0.49,0.50,1.29,0.49
market_assignments_GNI_3_BH,25,IPV,2,12756101.60,1.54,2.31,2.45,1.54
market_assignments_GNI_3_BH,25,IPV,3,0.00,0.00,0.00,5.09,2.82
market_assignments_GNI_3_BH,26,IPV,1,29836733.60,0.62,1.24,1.63,0.62
market_assignments_GNI_3_BH,26,IPV,2,0.00,0.00,0.00,3.09,1.94
market_assignments_GNI_3_BH,26,IPV,3,21580814.80,3.56,5.69,6.44,3.56
market_assignments_GNI_3_BH,27,IPV,1,21421935.04,0.35,0.92,0.92,0.35
market_assignments_GNI_3_BH,27,IPV,2,0.00,0.00,0.00,1.75,1.10
market_assignments_GNI_3_BH,27,IPV,3,0.00,0.00,0.00,3.63,2.01
market_assignments_GNI_3_BH,28,IPV,1,0.00,0.00,0.00,1.22,0.47
market_assignments_GNI_3_BH,28,IPV,2,7968972.24,1.46,2.12,2.33,1.46
market_assignments_GNI_3_BH,28,IPV,3,13452962.80,2.68,3.97,4.84,2.68
market_assignments_GNI_3_BH,29,IPV,1,0.00,0.00,0.00,1.47,0.56
market_assignments_GNI_3_BH,29,IPV,2,21421935.04,1.76,2.80,2.80,1.76
market_assignments_GNI_3_BH,29,IPV,3,0.00,0.00,0.00,5.81,3.22
market_assignments_GNI_3_BH,30,MMR,1,0.00,0.00,0.00,0.74,0.28
market_assignments_GNI_3_BH,30,MMR,2,18103043.70,0.88,1.41,1.41,0.88
market_assignments_GNI_3_BH,30,MMR,3,0.00,0.00,0.00,2.93,1.62
